source_model,target_model,sample_index,selector,repeat,target_clean_correct,target_logit_drop,target_loss_increase,target_prediction_changed
vit_base_patch16_224,vit_base_patch16_224,2,gradcam_signed,3,True,0.6607952117919922,0.09804867208003998,False
vit_base_patch16_224,vit_base_patch16_224,3,gradcam_signed,3,True,0.9411087036132812,0.08220547437667847,False
vit_base_patch16_224,vit_base_patch16_224,4,gradcam_signed,3,True,-0.1902446746826172,-0.03625932335853577,False
vit_base_patch16_224,vit_base_patch16_224,5,gradcam_signed,3,True,-0.03380775451660156,-0.0029696226119995117,False
vit_base_patch16_224,vit_base_patch16_224,6,gradcam_signed,3,True,0.051651954650878906,0.005233854055404663,False
vit_base_patch16_224,vit_base_patch16_224,7,gradcam_signed,3,True,0.2239837646484375,0.023896999657154083,False
vit_base_patch16_224,vit_base_patch16_224,0,gradcam_abs,0,True,0.17581558227539062,0.024746105074882507,False
vit_base_patch16_224,vit_base_patch16_224,1,gradcam_abs,0,True,-0.47335243225097656,-0.028131145983934402,False
vit_base_patch16_224,vit_base_patch16_224,2,gradcam_abs,0,True,0.5153169631958008,0.06476256251335144,False
vit_base_patch16_224,vit_base_patch16_224,3,gradcam_abs,0,True,0.48172569274902344,0.111172616481781,False
vit_base_patch16_224,vit_base_patch16_224,4,gradcam_abs,0,True,-0.23062515258789062,-0.042700886726379395,False
vit_base_patch16_224,vit_base_patch16_224,5,gradcam_abs,0,True,-0.04673194885253906,-0.004071474075317383,False
vit_base_patch16_224,vit_base_patch16_224,6,gradcam_abs,0,True,-0.0028581619262695312,-0.0006986707448959351,False
vit_base_patch16_224,vit_base_patch16_224,7,gradcam_abs,0,True,0.03363800048828125,0.0069771409034729,False
vit_base_patch16_224,vit_base_patch16_224,0,gradcam_abs,1,True,0.050934791564941406,0.00696544349193573,False
vit_base_patch16_224,vit_base_patch16_224,1,gradcam_abs,1,True,-0.4000883102416992,-0.02358996495604515,False
vit_base_patch16_224,vit_base_patch16_224,2,gradcam_abs,1,True,1.53546142578125,0.5224325656890869,False
vit_base_patch16_224,vit_base_patch16_224,3,gradcam_abs,1,True,0.24193096160888672,0.004755854606628418,False
vit_base_patch16_224,vit_base_patch16_224,4,gradcam_abs,1,True,-0.022943496704101562,-0.011469155550003052,False
vit_base_patch16_224,vit_base_patch16_224,5,gradcam_abs,1,True,-0.06858539581298828,-0.0072206854820251465,False
vit_base_patch16_224,vit_base_patch16_224,6,gradcam_abs,1,True,0.05805397033691406,0.006167866289615631,False
vit_base_patch16_224,vit_base_patch16_224,7,gradcam_abs,1,True,-0.2651691436767578,-0.021627135574817657,False
vit_base_patch16_224,vit_base_patch16_224,0,gradcam_abs,2,True,-0.22051334381103516,-0.024054355919361115,False
vit_base_patch16_224,vit_base_patch16_224,1,gradcam_abs,2,True,-0.631037712097168,-0.032223593443632126,False
vit_base_patch16_224,vit_base_patch16_224,2,gradcam_abs,2,True,0.8591041564941406,0.20700155198574066,False
vit_base_patch16_224,vit_base_patch16_224,3,gradcam_abs,2,True,0.8444652557373047,0.09961992502212524,False
vit_base_patch16_224,vit_base_patch16_224,4,gradcam_abs,2,True,-0.21350479125976562,-0.041892096400260925,False
vit_base_patch16_224,vit_base_patch16_224,5,gradcam_abs,2,True,-0.11758613586425781,-0.01207667589187622,False
vit_base_patch16_224,vit_base_patch16_224,6,gradcam_abs,2,True,0.044948577880859375,0.004253841936588287,False
vit_base_patch16_224,vit_base_patch16_224,7,gradcam_abs,2,True,0.08154296875,0.007257640361785889,False
vit_base_patch16_224,vit_base_patch16_224,0,gradcam_abs,3,True,0.05267906188964844,0.004939824342727661,False
vit_base_patch16_224,vit_base_patch16_224,1,gradcam_abs,3,True,-0.43114566802978516,-0.023806896060705185,False
vit_base_patch16_224,vit_base_patch16_224,2,gradcam_abs,3,True,0.4952421188354492,0.10440059006214142,False
vit_base_patch16_224,vit_base_patch16_224,3,gradcam_abs,3,True,0.6634979248046875,0.07180231809616089,False
vit_base_patch16_224,vit_base_patch16_224,4,gradcam_abs,3,True,-0.38092613220214844,-0.05966031551361084,False
vit_base_patch16_224,vit_base_patch16_224,5,gradcam_abs,3,True,-0.06599140167236328,-0.0054354071617126465,False
vit_base_patch16_224,vit_base_patch16_224,6,gradcam_abs,3,True,-0.006206512451171875,-0.001213952898979187,False
vit_base_patch16_224,vit_base_patch16_224,7,gradcam_abs,3,True,0.08574962615966797,0.009456008672714233,False
vit_base_patch16_224,vit_base_patch16_224,0,random_uniform,0,True,-0.05134296417236328,-0.007020354270935059,False
vit_base_patch16_224,vit_base_patch16_224,1,random_uniform,0,True,-0.14099597930908203,-0.011456113308668137,False
vit_base_patch16_224,vit_base_patch16_224,2,random_uniform,0,True,1.4654273986816406,0.4990736246109009,False
vit_base_patch16_224,vit_base_patch16_224,3,random_uniform,0,True,0.43717002868652344,0.08436217904090881,False
vit_base_patch16_224,vit_base_patch16_224,4,random_uniform,0,True,-0.24529647827148438,-0.04519359767436981,False
vit_base_patch16_224,vit_base_patch16_224,5,random_uniform,0,True,-0.11285972595214844,-0.012844592332839966,False
vit_base_patch16_224,vit_base_patch16_224,6,random_uniform,0,True,0.04218292236328125,0.00420042872428894,False
vit_base_patch16_224,vit_base_patch16_224,7,random_uniform,0,True,-0.054866790771484375,-0.005618534982204437,False
vit_base_patch16_224,vit_base_patch16_224,0,random_uniform,1,True,-0.04586982727050781,-0.005765922367572784,False
vit_base_patch16_224,vit_base_patch16_224,1,random_uniform,1,True,-0.6715383529663086,-0.0336960069835186,False
vit_base_patch16_224,vit_base_patch16_224,2,random_uniform,1,True,1.454732894897461,0.451549232006073,False
vit_base_patch16_224,vit_base_patch16_224,3,random_uniform,1,True,0.5328483581542969,0.09529843926429749,False
vit_base_patch16_224,vit_base_patch16_224,4,random_uniform,1,True,-0.13317203521728516,-0.029597148299217224,False
vit_base_patch16_224,vit_base_patch16_224,5,random_uniform,1,True,-0.07349014282226562,-0.0074717700481414795,False
vit_base_patch16_224,vit_base_patch16_224,6,random_uniform,1,True,-0.02323150634765625,-0.00320453941822052,False
vit_base_patch16_224,vit_base_patch16_224,7,random_uniform,1,True,-0.062224388122558594,0.0011493489146232605,False
vit_base_patch16_224,vit_base_patch16_224,0,random_uniform,2,True,0.017177581787109375,0.000736922025680542,False
vit_base_patch16_224,vit_base_patch16_224,1,random_uniform,2,True,-0.4572591781616211,-0.028016038239002228,False
vit_base_patch16_224,vit_base_patch16_224,2,random_uniform,2,True,0.702998161315918,0.1291731745004654,False
vit_base_patch16_224,vit_base_patch16_224,3,random_uniform,2,True,0.6637506484985352,0.06706547737121582,False
vit_base_patch16_224,vit_base_patch16_224,4,random_uniform,2,True,-0.16206741333007812,-0.03360927104949951,False
vit_base_patch16_224,vit_base_patch16_224,5,random_uniform,2,True,-0.18703269958496094,-0.020817726850509644,False
vit_base_patch16_224,vit_base_patch16_224,6,random_uniform,2,True,-0.03768444061279297,-0.004232384264469147,False
vit_base_patch16_224,vit_base_patch16_224,7,random_uniform,2,True,0.1012725830078125,0.011244863271713257,False
vit_base_patch16_224,vit_base_patch16_224,0,random_uniform,3,True,-0.09119987487792969,-0.011550277471542358,False
