model,image_name,label,early_late_spearman,strict_promotion_fraction,promotion_flip_spearman,promotion_flip_top_iou
cait_s24_224,ILSVRC2012_val_00033171.JPEG,796,0.3440816402435303,0.040816325694322586,0.9186734557151794,0.75
cait_s24_224,ILSVRC2012_val_00033207.JPEG,534,0.24724489450454712,0.08163265138864517,0.9315305948257446,0.5555555820465088
cait_s24_224,ILSVRC2012_val_00033255.JPEG,825,0.5625510215759277,0.040816325694322586,0.9147959351539612,0.75
cait_s24_224,ILSVRC2012_val_00033340.JPEG,90,0.012448970228433609,0.10204081982374191,0.9310203790664673,1.0
cait_s24_224,ILSVRC2012_val_00033725.JPEG,754,0.3034694194793701,0.040816325694322586,0.9351020455360413,0.75
cait_s24_224,ILSVRC2012_val_00033897.JPEG,267,0.49979591369628906,0.040816325694322586,0.8937755227088928,0.5555555820465088
cait_s24_224,ILSVRC2012_val_00033960.JPEG,30,0.6176530718803406,0.020408162847161293,0.8760204315185547,0.5555555820465088
cait_s24_224,ILSVRC2012_val_00033997.JPEG,183,0.5564286112785339,0.020408162847161293,0.95081627368927,0.4000000059604645
cait_s24_224,ILSVRC2012_val_00034008.JPEG,851,0.05673469603061676,0.040816325694322586,0.9438775777816772,0.75
cait_s24_224,ILSVRC2012_val_00034055.JPEG,179,0.10734694451093674,0.10204081982374191,0.8819388151168823,1.0
cait_s24_224,ILSVRC2012_val_00034168.JPEG,22,0.1752040982246399,0.06122449040412903,0.9616326689720154,1.0
cait_s24_224,ILSVRC2012_val_00034182.JPEG,552,0.09989795088768005,0.08163265138864517,0.889081597328186,0.5555555820465088
cait_s24_224,ILSVRC2012_val_00034217.JPEG,852,0.611530601978302,0.020408162847161293,0.7909183502197266,0.4000000059604645
cait_s24_224,ILSVRC2012_val_00034225.JPEG,393,0.35734692215919495,0.08163265138864517,0.8152040243148804,0.5555555820465088
cait_s24_224,ILSVRC2012_val_00034230.JPEG,375,-0.059387773275375366,0.12244898080825806,0.9202040433883667,1.0
cait_s24_224,ILSVRC2012_val_00034302.JPEG,411,0.5748979449272156,0.0,0.8631633520126343,0.5555555820465088
cait_s24_224,ILSVRC2012_val_00034356.JPEG,163,0.3780612349510193,0.040816325694322586,0.9416326284408569,0.5555555820465088
cait_s24_224,ILSVRC2012_val_00034359.JPEG,715,0.05387754365801811,0.08163265138864517,0.9211224317550659,0.5555555820465088
cait_s24_224,ILSVRC2012_val_00034391.JPEG,921,-0.7751020193099976,0.16326530277729034,0.9842857718467712,0.75
cait_s24_224,ILSVRC2012_val_00034406.JPEG,76,0.32469385862350464,0.040816325694322586,0.9415305852890015,0.5555555820465088
cait_s24_224,ILSVRC2012_val_00034438.JPEG,353,0.10663264244794846,0.08163265138864517,0.7410204410552979,0.27272728085517883
cait_s24_224,ILSVRC2012_val_00034459.JPEG,625,0.08030612766742706,0.040816325694322586,0.845714271068573,0.75
cait_s24_224,ILSVRC2012_val_00034548.JPEG,130,0.4076530635356903,0.08163265138864517,0.9463265538215637,0.75
pit_b_224,ILSVRC2012_val_00031361.JPEG,282,0.0468367338180542,0.06122449040412903,0.8466325998306274,0.5555555820465088
pit_b_224,ILSVRC2012_val_00031410.JPEG,589,0.011428577825427055,0.08163265138864517,0.6153061389923096,0.27272728085517883
pit_b_224,ILSVRC2012_val_00031472.JPEG,317,-0.21908165514469147,0.12244898080825806,0.7119387984275818,0.5555555820465088
pit_b_224,ILSVRC2012_val_00031495.JPEG,918,0.1064285859465599,0.08163265138864517,0.6965306401252747,0.4000000059604645
pit_b_224,ILSVRC2012_val_00031548.JPEG,889,0.42846938967704773,0.040816325694322586,0.9125509858131409,0.5555555820465088
pit_b_224,ILSVRC2012_val_00031586.JPEG,49,0.42102038860321045,0.06122449040412903,0.6283673644065857,0.5555555820465088
pit_b_224,ILSVRC2012_val_00031588.JPEG,624,-0.08102040737867355,0.08163265138864517,0.8695918917655945,0.27272728085517883
pit_b_224,ILSVRC2012_val_00031593.JPEG,993,-0.3811224102973938,0.12244898080825806,0.8624489903450012,0.5555555820465088
pit_b_224,ILSVRC2012_val_00031629.JPEG,719,0.4758163392543793,0.020408162847161293,0.8867347240447998,0.5555555820465088
pit_b_224,ILSVRC2012_val_00031647.JPEG,945,0.3186734616756439,0.040816325694322586,0.6940816044807434,0.75
pit_b_224,ILSVRC2012_val_00031670.JPEG,461,0.047551002353429794,0.06122449040412903,0.742142915725708,0.5555555820465088
pit_b_224,ILSVRC2012_val_00031686.JPEG,290,0.05132654309272766,0.10204081982374191,0.6931633353233337,0.4000000059604645
pit_b_224,ILSVRC2012_val_00031762.JPEG,377,0.089591845870018,0.06122449040412903,0.8534693717956543,0.5555555820465088
pit_b_224,ILSVRC2012_val_00031783.JPEG,830,-0.32928571105003357,0.1428571492433548,0.9059183597564697,0.5555555820465088
pit_b_224,ILSVRC2012_val_00031785.JPEG,212,-0.1267346888780594,0.1428571492433548,0.7549999952316284,0.4000000059604645
pit_b_224,ILSVRC2012_val_00031789.JPEG,665,0.20071430504322052,0.040816325694322586,0.7320408821105957,0.27272728085517883
pit_b_224,ILSVRC2012_val_00031922.JPEG,141,0.393979549407959,0.040816325694322586,0.46479591727256775,0.27272728085517883
pit_b_224,ILSVRC2012_val_00031927.JPEG,59,-0.2173469215631485,0.10204081982374191,0.8297958970069885,0.5555555820465088
pit_b_224,ILSVRC2012_val_00032032.JPEG,978,0.2618367373943329,0.020408162847161293,0.7645918130874634,0.5555555820465088
pit_b_224,ILSVRC2012_val_00032039.JPEG,464,-0.43724489212036133,0.12244898080825806,0.8688775897026062,0.5555555820465088
pit_b_224,ILSVRC2012_val_00032046.JPEG,487,0.03540816903114319,0.06122449040412903,0.8357143402099609,0.5555555820465088
pit_b_224,ILSVRC2012_val_00032097.JPEG,826,-0.3136734366416931,0.10204081982374191,0.9103061556816101,0.5555555820465088
pit_b_224,ILSVRC2012_val_00032098.JPEG,745,-0.13499996066093445,0.12244898080825806,0.7793878316879272,0.27272728085517883
pit_b_224,ILSVRC2012_val_00032102.JPEG,19,0.1459183692932129,0.08163265138864517,0.6307142972946167,0.4000000059604645
pit_b_224,ILSVRC2012_val_00032120.JPEG,157,0.3287754952907562,0.020408162847161293,0.8050000071525574,0.4000000059604645
pit_b_224,ILSVRC2012_val_00032188.JPEG,256,-0.1536734700202942,0.06122449040412903,0.5463265180587769,0.27272728085517883
pit_b_224,ILSVRC2012_val_00032370.JPEG,948,-0.09408162534236908,0.08163265138864517,0.858571469783783,0.5555555820465088
pit_b_224,ILSVRC2012_val_00032435.JPEG,416,0.17265307903289795,0.040816325694322586,0.6949999928474426,0.4000000059604645
pit_b_224,ILSVRC2012_val_00032552.JPEG,287,0.46551021933555603,0.040816325694322586,0.6601020693778992,0.27272728085517883
pit_b_224,ILSVRC2012_val_00032623.JPEG,277,0.27734696865081787,0.10204081982374191,0.7790815830230713,0.27272728085517883
pit_b_224,ILSVRC2012_val_00032646.JPEG,248,-0.08408163487911224,0.12244898080825806,0.7984693646430969,0.75
pit_b_224,ILSVRC2012_val_00032695.JPEG,996,0.04051023721694946,0.10204081982374191,0.705612301826477,0.1666666716337204
pit_b_224,ILSVRC2012_val_00032723.JPEG,426,-0.0121428482234478,0.06122449040412903,0.7340816259384155,0.27272728085517883
pit_b_224,ILSVRC2012_val_00032911.JPEG,543,0.4439795911312103,0.020408162847161293,0.6590816378593445,0.4000000059604645
pit_b_224,ILSVRC2012_val_00032926.JPEG,647,0.18306122720241547,0.06122449040412903,0.886938750743866,0.5555555820465088
pit_b_224,ILSVRC2012_val_00032950.JPEG,420,0.46683672070503235,0.020408162847161293,0.7564285397529602,0.4000000059604645
pit_b_224,ILSVRC2012_val_00033014.JPEG,119,-0.21142858266830444,0.06122449040412903,0.7214286923408508,0.5555555820465088
pit_b_224,ILSVRC2012_val_00033018.JPEG,346,0.08204081654548645,0.08163265138864517,0.8704081773757935,0.5555555820465088
pit_b_224,ILSVRC2012_val_00033076.JPEG,99,-0.11836732178926468,0.10204081982374191,0.48265308141708374,0.1666666716337204
