source_model,sample_index,image_name,phase_global_cosine,flip_global_cosine,phase_flip_gradient_cosine
cait_s24_224,54,ILSVRC2012_val_00041010.JPEG,0.9933023452758789,0.9983558654785156,0.4682898223400116
cait_s24_224,55,ILSVRC2012_val_00041063.JPEG,0.9819289445877075,0.9980515241622925,-0.20471587777137756
cait_s24_224,56,ILSVRC2012_val_00041080.JPEG,0.989943265914917,0.9971804618835449,0.8404573202133179
cait_s24_224,57,ILSVRC2012_val_00041241.JPEG,0.9914748668670654,0.998268723487854,0.39057230949401855
cait_s24_224,58,ILSVRC2012_val_00041354.JPEG,0.9792757630348206,0.9978994727134705,-0.03381885588169098
cait_s24_224,59,ILSVRC2012_val_00041406.JPEG,0.9826281070709229,0.9966772198677063,0.9973156452178955
cait_s24_224,60,ILSVRC2012_val_00041468.JPEG,0.9835254549980164,0.9878420233726501,-0.23487016558647156
cait_s24_224,61,ILSVRC2012_val_00041474.JPEG,0.9681257009506226,0.9954502582550049,-0.44406989216804504
cait_s24_224,62,ILSVRC2012_val_00041483.JPEG,0.9799792766571045,0.9952362179756165,-0.19232875108718872
cait_s24_224,63,ILSVRC2012_val_00041486.JPEG,0.975928783416748,0.9960417747497559,0.6179320812225342
