model,layer,global_mode,image_name,label,global_flip_cosine,global_phase_cosine,score_flip_spearman,score_phase_spearman,score_normalized_entropy,score_top_probability_mass,score_std
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00026972.JPEG,750,0.9999085068702698,0.9999122023582458,0.8283052444458008,0.6319853067398071,0.9879000186920166,0.238821342587471,0.030287854373455048
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00027124.JPEG,264,0.9999604225158691,0.9999325275421143,0.8102368116378784,0.5807616710662842,0.9954596757888794,0.20360469818115234,0.021855555474758148
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00027141.JPEG,894,0.9997926950454712,0.9997923374176025,0.6905066967010498,0.4835244417190552,0.9903033971786499,0.228376105427742,0.028507187962532043
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00027148.JPEG,61,0.9999204874038696,0.9998953938484192,0.8587732911109924,0.6315549612045288,0.9949777722358704,0.20839443802833557,0.02288207784295082
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00027201.JPEG,694,0.9999471306800842,0.9998932480812073,0.84764564037323,0.5829148888587952,0.9922133088111877,0.22081591188907623,0.02901923842728138
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00027287.JPEG,445,0.999879002571106,0.9997823238372803,0.9186701774597168,0.6350452899932861,0.9883425235748291,0.24243488907814026,0.03498467430472374
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00027348.JPEG,164,0.9999087452888489,0.9999148845672607,0.8382965326309204,0.5926192998886108,0.9882938861846924,0.23260140419006348,0.027509357780218124
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00027385.JPEG,497,0.9999654293060303,0.9998035430908203,0.8497143387794495,0.6677238941192627,0.9947270750999451,0.21222588419914246,0.023298470303416252
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00027498.JPEG,14,0.9998643398284912,0.999932050704956,0.8302416801452637,0.5162922739982605,0.9923774003982544,0.22181019186973572,0.024932710453867912
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00027530.JPEG,985,0.999923050403595,0.999893307685852,0.8954410552978516,0.70628821849823,0.9915518164634705,0.2332870364189148,0.028646672144532204
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00027633.JPEG,5,0.9999817609786987,0.9998952150344849,0.9234259724617004,0.8272278308868408,0.9785333871841431,0.27853137254714966,0.041052091866731644
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00027636.JPEG,648,0.9998492002487183,0.9998557567596436,0.7636111378669739,0.5965144634246826,0.9902830719947815,0.22879716753959656,0.02787780947983265
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00027657.JPEG,104,0.9999222755432129,0.9998666644096375,0.8792499899864197,0.4116344749927521,0.9934883117675781,0.21760138869285583,0.02632359229028225
