source_model,sample_index,image_name,layer,condition,global_polarity,global_mode,grid_h,grid_w,drop_count,drop_ratio,global_cosine_clean_masked,kept_token_cosine_clean_masked,score_map_spearman_clean_masked,clean_route_gradient_cosine,view_cosine_to_raw_mean,view_sign_agreement,view_effective_rank
cait_s24_224,33,ILSVRC2012_val_00026328.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9817225933074951,0.8969975113868713,0.7457658052444458,-0.011654365807771683,0.3178662955760956,0.4944319427013397,18.973798751831055
cait_s24_224,34,ILSVRC2012_val_00026332.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9931887984275818,0.934208333492279,0.7581939697265625,0.05092334747314453,0.273758202791214,0.4783967137336731,19.332242965698242
cait_s24_224,35,ILSVRC2012_val_00026390.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9878053665161133,0.9053463339805603,0.7861055731773376,0.0069577936083078384,0.14324745535850525,0.4644621014595032,19.38944435119629
cait_s24_224,36,ILSVRC2012_val_00026397.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.990369975566864,0.8826470971107483,0.45784252882003784,-0.03082573041319847,0.19437815248966217,0.4637017846107483,19.95499038696289
cait_s24_224,37,ILSVRC2012_val_00026436.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9890693426132202,0.8687124848365784,0.8989393711090088,0.03656746819615364,0.27844032645225525,0.47980377078056335,18.964399337768555
cait_s24_224,38,ILSVRC2012_val_00026490.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9944008588790894,0.9206535816192627,0.8166421055793762,0.01719643920660019,0.3162739872932434,0.4780897796154022,19.100252151489258
cait_s24_224,39,ILSVRC2012_val_00026510.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9569465517997742,0.8823961019515991,0.3982197642326355,0.012574494816362858,0.1227232962846756,0.4702434241771698,19.727153778076172
cait_s24_224,40,ILSVRC2012_val_00026559.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9683642387390137,0.9134998321533203,0.7110264301300049,0.001340591348707676,0.20184414088726044,0.4693395793437958,19.905324935913086
cait_s24_224,41,ILSVRC2012_val_00026627.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9819064140319824,0.905685305595398,0.8573915362358093,0.0940394252538681,0.24737249314785004,0.48526719212532043,19.477291107177734
cait_s24_224,42,ILSVRC2012_val_00026692.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9882329702377319,0.918608546257019,0.8020480275154114,0.2506430149078369,0.35987958312034607,0.4916945695877075,17.867206573486328
cait_s24_224,43,ILSVRC2012_val_00026737.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9892937541007996,0.8557130694389343,0.7280956506729126,0.05870286375284195,0.2456437647342682,0.48006683588027954,19.861915588378906
cait_s24_224,44,ILSVRC2012_val_00026743.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9856424927711487,0.8879978656768799,0.740476131439209,-0.0034992601722478867,0.15430720150470734,0.4671858251094818,19.72187614440918
cait_s24_224,45,ILSVRC2012_val_00026754.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.976557731628418,0.8907172679901123,0.8174517154693604,0.028537362813949585,0.2494155466556549,0.502703845500946,19.807741165161133
cait_s24_224,46,ILSVRC2012_val_00026803.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9826171398162842,0.8916807174682617,0.7406721115112305,0.05292574316263199,0.2904872000217438,0.4986557364463806,19.55364990234375
cait_s24_224,47,ILSVRC2012_val_00026901.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9657242298126221,0.8716850876808167,0.6984325647354126,0.10219299793243408,0.34980008006095886,0.4818761348724365,17.329378128051758
cait_s24_224,48,ILSVRC2012_val_00026916.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9408503174781799,0.9272063374519348,0.8456119298934937,0.0013447969686239958,0.16774757206439972,0.4623863995075226,19.83405303955078
cait_s24_224,49,ILSVRC2012_val_00026925.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9795362949371338,0.9032476544380188,0.7743691205978394,0.007299688644707203,0.15000717341899872,0.4607953429222107,19.842241287231445
cait_s24_224,50,ILSVRC2012_val_00026972.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9859836101531982,0.913866400718689,0.617005467414856,0.01334733609110117,0.2707913815975189,0.4918809235095978,19.494234085083008
cait_s24_224,51,ILSVRC2012_val_00027124.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.989605724811554,0.9326974153518677,0.870436429977417,0.030848655849695206,0.2414781153202057,0.48891568183898926,18.953935623168945
cait_s24_224,52,ILSVRC2012_val_00027141.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9911388754844666,0.9040945768356323,0.848759651184082,0.02432672679424286,0.26924368739128113,0.48696720600128174,19.666658401489258
cait_s24_224,53,ILSVRC2012_val_00027148.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.993152379989624,0.9128495454788208,0.5310330390930176,0.0009868581546470523,0.14470748603343964,0.4641953706741333,19.82122802734375
cait_s24_224,54,ILSVRC2012_val_00027201.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9894905686378479,0.9101070761680603,0.8698993921279907,0.010575663298368454,0.2215743362903595,0.48698845505714417,19.940513610839844
cait_s24_224,55,ILSVRC2012_val_00027287.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9876077771186829,0.9064106345176697,0.8075942993164062,-0.007565463427454233,0.21276640892028809,0.4762217104434967,19.78815269470215
cait_s24_224,56,ILSVRC2012_val_00027348.JPEG,block24_gap,selected,high,gap,14,14,29,0.14795918762683868,0.9872901439666748,0.914739191532135,0.802476704120636,0.009692804887890816,0.27925872802734375,0.48737677931785583,18.848878860473633
