model,image_name,condition,mix_gain,mlp_gain,total_gain
cait_s24_224,ILSVRC2012_val_00031629.JPEG,stable_low,0.0757753774523735,0.01795172691345215,0.09372710436582565
cait_s24_224,ILSVRC2012_val_00031647.JPEG,stable_low,0.07028435170650482,0.024233387783169746,0.09451774507761002
cait_s24_224,ILSVRC2012_val_00031629.JPEG,random,0.07496066391468048,0.1241871789097786,0.19914785027503967
cait_s24_224,ILSVRC2012_val_00031647.JPEG,random,0.040394894778728485,0.12666039168834686,0.16705529391765594
cait_s24_224,ILSVRC2012_val_00031670.JPEG,promotion,0.07255210727453232,0.17413224279880524,0.24668435752391815
cait_s24_224,ILSVRC2012_val_00031686.JPEG,promotion,0.08527924865484238,0.2420845776796341,0.3273637890815735
cait_s24_224,ILSVRC2012_val_00031670.JPEG,stable_high,0.059700459241867065,0.20922912657260895,0.2689295709133148
cait_s24_224,ILSVRC2012_val_00031686.JPEG,stable_high,0.07996638119220734,0.2191746085882187,0.299140989780426
cait_s24_224,ILSVRC2012_val_00031670.JPEG,stable_low,0.03386494517326355,0.05394132062792778,0.08780626207590103
cait_s24_224,ILSVRC2012_val_00031686.JPEG,stable_low,0.04987911134958267,0.10355707257986069,0.15343618392944336
cait_s24_224,ILSVRC2012_val_00031670.JPEG,random,0.052806708961725235,0.1024136021733284,0.15522031486034393
cait_s24_224,ILSVRC2012_val_00031686.JPEG,random,0.06106412783265114,0.14941999316215515,0.2104841023683548
cait_s24_224,ILSVRC2012_val_00031762.JPEG,promotion,0.03728586062788963,0.024281194433569908,0.06156705692410469
cait_s24_224,ILSVRC2012_val_00031783.JPEG,promotion,0.02213963493704796,0.044080257415771484,0.06621988862752914
cait_s24_224,ILSVRC2012_val_00031762.JPEG,stable_high,0.02518528699874878,0.03307340666651726,0.05825869366526604
cait_s24_224,ILSVRC2012_val_00031783.JPEG,stable_high,0.0638158917427063,0.04207595810294151,0.10589184612035751
cait_s24_224,ILSVRC2012_val_00031762.JPEG,stable_low,0.02791874296963215,0.03644109517335892,0.06435983628034592
cait_s24_224,ILSVRC2012_val_00031783.JPEG,stable_low,0.054345037788152695,0.0711638480424881,0.1255088895559311
cait_s24_224,ILSVRC2012_val_00031762.JPEG,random,0.030287666246294975,0.02793428674340248,0.058221954852342606
cait_s24_224,ILSVRC2012_val_00031783.JPEG,random,0.06422484666109085,0.056630223989486694,0.12085505574941635
cait_s24_224,ILSVRC2012_val_00031785.JPEG,promotion,0.08101149648427963,0.132147878408432,0.21315935254096985
cait_s24_224,ILSVRC2012_val_00031789.JPEG,promotion,0.06140884384512901,0.10440973937511444,0.16581857204437256
cait_s24_224,ILSVRC2012_val_00031785.JPEG,stable_high,0.033031754195690155,0.029639223590493202,0.06267097592353821
cait_s24_224,ILSVRC2012_val_00031789.JPEG,stable_high,0.050985466688871384,0.12402347475290298,0.17500893771648407
cait_s24_224,ILSVRC2012_val_00031785.JPEG,stable_low,0.08288584649562836,0.026714662089943886,0.1096004992723465
cait_s24_224,ILSVRC2012_val_00031789.JPEG,stable_low,0.04158726707100868,0.06251397728919983,0.10410124808549881
cait_s24_224,ILSVRC2012_val_00031785.JPEG,random,0.07215524464845657,0.013527346774935722,0.08568258583545685
cait_s24_224,ILSVRC2012_val_00031789.JPEG,random,0.04302435740828514,0.082430399954319,0.12545475363731384
pit_b_224,ILSVRC2012_val_00031361.JPEG,promotion,-0.07310084998607635,-0.23537608981132507,-0.30847692489624023
pit_b_224,ILSVRC2012_val_00031410.JPEG,promotion,0.0675543025135994,-0.29512840509414673,-0.22757412493228912
pit_b_224,ILSVRC2012_val_00031361.JPEG,stable_high,-0.0590917207300663,-0.21733804047107697,-0.2764297425746918
pit_b_224,ILSVRC2012_val_00031410.JPEG,stable_high,0.08916471898555756,-0.3307291865348816,-0.24156446754932404
pit_b_224,ILSVRC2012_val_00031361.JPEG,stable_low,-0.08815090358257294,-0.22514767944812775,-0.3132985532283783
pit_b_224,ILSVRC2012_val_00031410.JPEG,stable_low,0.05390256643295288,-0.3825787603855133,-0.3286761939525604
pit_b_224,ILSVRC2012_val_00031361.JPEG,random,-0.08356795459985733,-0.19462908804416656,-0.2781970202922821
pit_b_224,ILSVRC2012_val_00031410.JPEG,random,0.07474810630083084,-0.34051957726478577,-0.2657714784145355
pit_b_224,ILSVRC2012_val_00031472.JPEG,promotion,0.1332034021615982,-0.2342468947172165,-0.10104351490736008
pit_b_224,ILSVRC2012_val_00031495.JPEG,promotion,0.17882399260997772,-0.14002268016338348,0.03880131244659424
pit_b_224,ILSVRC2012_val_00031472.JPEG,stable_high,0.1167454719543457,-0.2328214794397354,-0.11607600748538971
pit_b_224,ILSVRC2012_val_00031495.JPEG,stable_high,0.18210792541503906,-0.1451348066329956,0.03697311505675316
pit_b_224,ILSVRC2012_val_00031472.JPEG,stable_low,0.12844760715961456,-0.27543729543685913,-0.14698965847492218
pit_b_224,ILSVRC2012_val_00031495.JPEG,stable_low,0.16215522587299347,-0.1715400516986847,-0.00938485749065876
pit_b_224,ILSVRC2012_val_00031472.JPEG,random,0.1111149713397026,-0.2580779194831848,-0.14696292579174042
