model,sample_index,image_name,residual_effective_rank,top_eigenvalue_fraction,top3_eigenvalue_fraction,top_mode_semantic_fraction,top3_mode_semantic_fraction,mean_residual_l2,semantic_covariance_l2
cait_s24_224,32,ILSVRC2012_val_00039746.JPEG,17.260236740112305,0.16612426936626434,0.28147098422050476,0.00025263818679377437,0.011489290744066238,0.3283359706401825,0.003950885031372309
cait_s24_224,33,ILSVRC2012_val_00039748.JPEG,17.15911102294922,0.16800464689731598,0.2908475995063782,0.017087016254663467,0.5561249256134033,0.2462579309940338,0.002592068864032626
cait_s24_224,34,ILSVRC2012_val_00039815.JPEG,18.165143966674805,0.1081819161772728,0.25903749465942383,0.013934309594333172,0.24922427535057068,0.1522265523672104,0.001896686153486371
cait_s24_224,35,ILSVRC2012_val_00039842.JPEG,18.89136505126953,0.06863462179899216,0.19294288754463196,0.08122847974300385,0.14328281581401825,0.05989023670554161,0.00218073558062315
cait_s24_224,36,ILSVRC2012_val_00039892.JPEG,18.518144607543945,0.09420301765203476,0.22525963187217712,0.01047175657004118,0.18006615340709686,0.05821588262915611,0.0028742251452058554
cait_s24_224,37,ILSVRC2012_val_00039939.JPEG,16.681758880615234,0.18995527923107147,0.3012732267379761,0.20398524403572083,0.20507267117500305,0.6681951880455017,0.004252951126545668
cait_s24_224,38,ILSVRC2012_val_00040016.JPEG,18.772382736206055,0.08213898539543152,0.2015121728181839,0.1669226884841919,0.19851359724998474,0.2578175663948059,0.0036759015638381243
cait_s24_224,39,ILSVRC2012_val_00040140.JPEG,18.463472366333008,0.10078945755958557,0.2346065193414688,0.022106532007455826,0.024104025214910507,0.21178005635738373,0.003124245908111334
cait_s24_224,40,ILSVRC2012_val_00040221.JPEG,18.496593475341797,0.09553541243076324,0.2294078767299652,0.07793087512254715,0.1414433866739273,0.2625716030597687,0.004667053464800119
cait_s24_224,41,ILSVRC2012_val_00040291.JPEG,18.862552642822266,0.07456225901842117,0.19189545512199402,0.03002566657960415,0.2085055708885193,0.27138552069664,0.004102081060409546
cait_s24_224,42,ILSVRC2012_val_00040345.JPEG,18.125019073486328,0.12018723785877228,0.247236967086792,0.0778636559844017,0.1615985929965973,0.0806141346693039,0.002564180875197053
cait_s24_224,43,ILSVRC2012_val_00040407.JPEG,18.837757110595703,0.07100901752710342,0.19959089159965515,0.07135608792304993,0.1483995020389557,0.24343907833099365,0.004942885134369135
cait_s24_224,44,ILSVRC2012_val_00040452.JPEG,18.497533798217773,0.10006506741046906,0.22821040451526642,0.8257729411125183,0.8600719571113586,0.18640552461147308,0.013932560570538044
cait_s24_224,45,ILSVRC2012_val_00040457.JPEG,17.7034969329834,0.13459919393062592,0.2871231436729431,0.0019113552989438176,0.1315552294254303,1.2846993207931519,0.0015514709521085024
cait_s24_224,46,ILSVRC2012_val_00040494.JPEG,18.911510467529297,0.06526696681976318,0.18634650111198425,0.034776147454977036,0.05993085354566574,0.3525864779949188,0.0022726773750036955
cait_s24_224,47,ILSVRC2012_val_00040541.JPEG,18.645854949951172,0.09367943555116653,0.21665553748607635,0.20088115334510803,0.3664034903049469,0.18504087626934052,0.0017430594889447093
cait_s24_224,48,ILSVRC2012_val_00040601.JPEG,18.728715896606445,0.08615860342979431,0.20682573318481445,0.04409918561577797,0.1754789799451828,0.2392980307340622,0.005059157498180866
cait_s24_224,49,ILSVRC2012_val_00040634.JPEG,18.833356857299805,0.0751848816871643,0.19824481010437012,0.00839996337890625,0.28865864872932434,0.19325129687786102,0.0027696876786649227
cait_s24_224,50,ILSVRC2012_val_00040798.JPEG,17.599245071411133,0.15254878997802734,0.26776212453842163,0.018342304974794388,0.04389466717839241,0.2747286856174469,0.0033539265859872103
cait_s24_224,51,ILSVRC2012_val_00040930.JPEG,18.620458602905273,0.08310136944055557,0.21792304515838623,0.14446796476840973,0.23021361231803894,0.2395298033952713,0.006770155858248472
cait_s24_224,52,ILSVRC2012_val_00040952.JPEG,17.805009841918945,0.12178850919008255,0.2917264401912689,0.03245047107338905,0.11106513440608978,1.0232293605804443,0.001636876491829753
cait_s24_224,53,ILSVRC2012_val_00040966.JPEG,18.19923210144043,0.12214192003011703,0.2485320270061493,0.0010832687839865685,0.09314079582691193,0.11255689710378647,0.00251201749779284
cait_s24_224,54,ILSVRC2012_val_00041010.JPEG,18.29668617248535,0.11617915332317352,0.23543702065944672,0.028256818652153015,0.33857104182243347,0.1145349070429802,0.006891035940498114
cait_s24_224,55,ILSVRC2012_val_00041063.JPEG,16.616107940673828,0.190204918384552,0.30973130464553833,0.1288064867258072,0.1341528743505478,1.2250312566757202,0.002039687242358923
cait_s24_224,56,ILSVRC2012_val_00041080.JPEG,15.19196605682373,0.22355708479881287,0.40161073207855225,0.0438871793448925,0.047686342149972916,0.5544340014457703,0.033038605004549026
cait_s24_224,57,ILSVRC2012_val_00041241.JPEG,18.762392044067383,0.08818008005619049,0.1991034895181656,0.0038411535788327456,0.00885038822889328,0.46059471368789673,0.0025379888247698545
cait_s24_224,58,ILSVRC2012_val_00041354.JPEG,18.716039657592773,0.08564580976963043,0.20538654923439026,0.1946830004453659,0.20901146531105042,0.4658622741699219,0.0019143547397106886
cait_s24_224,59,ILSVRC2012_val_00041406.JPEG,18.28936195373535,0.11316001415252686,0.24163657426834106,0.0014806203544139862,0.01095183752477169,0.3774363100528717,0.004776706453412771
cait_s24_224,60,ILSVRC2012_val_00041468.JPEG,18.493715286254883,0.10064629465341568,0.2352382242679596,0.15722879767417908,0.20960800349712372,0.3880506455898285,0.0022766543552279472
cait_s24_224,61,ILSVRC2012_val_00041474.JPEG,16.3465576171875,0.19591084122657776,0.3248700499534607,0.16690343618392944,0.1801205575466156,0.23385849595069885,0.0023067921865731478
cait_s24_224,62,ILSVRC2012_val_00041483.JPEG,18.706573486328125,0.08849091082811356,0.20566235482692719,0.029540671035647392,0.09218856692314148,0.41974005103111267,0.0018561572069302201
cait_s24_224,63,ILSVRC2012_val_00041486.JPEG,18.64907455444336,0.08222314715385437,0.21678800880908966,0.0018803008133545518,0.09849510341882706,0.32917842268943787,0.005808001384139061
pit_b_224,0,ILSVRC2012_val_00037758.JPEG,18.670331954956055,0.08499161899089813,0.2183154970407486,0.00020629059872590005,0.27148905396461487,0.26265189051628113,0.003910893574357033
pit_b_224,1,ILSVRC2012_val_00037916.JPEG,18.836048126220703,0.07245086878538132,0.20034822821617126,0.017630254849791527,0.027855973690748215,0.23532915115356445,0.002425117651000619
pit_b_224,2,ILSVRC2012_val_00037926.JPEG,18.820913314819336,0.07502496987581253,0.20207229256629944,0.02822890691459179,0.7050008773803711,0.3914525806903839,0.003953711129724979
pit_b_224,3,ILSVRC2012_val_00037929.JPEG,17.78462028503418,0.14656321704387665,0.2569928765296936,0.01782401092350483,0.1511417031288147,0.21687622368335724,0.0026751402765512466
pit_b_224,4,ILSVRC2012_val_00038033.JPEG,18.14977264404297,0.10377892851829529,0.25425541400909424,0.7074117660522461,0.9033718109130859,0.219138503074646,0.027575219050049782
pit_b_224,5,ILSVRC2012_val_00038096.JPEG,18.20509910583496,0.1193753182888031,0.24633729457855225,0.014606915414333344,0.0940159261226654,0.2268049269914627,0.003135007806122303
pit_b_224,6,ILSVRC2012_val_00038110.JPEG,18.788625717163086,0.08108852803707123,0.20269356667995453,0.007915486581623554,0.028009921312332153,0.16975274682044983,0.0021481087896972895
pit_b_224,7,ILSVRC2012_val_00038142.JPEG,18.77652931213379,0.08371637016534805,0.19745594263076782,0.04722258076071739,0.1351553201675415,0.2852794826030731,0.003599846735596657
