source_model,target_model,direction_kind,sample_index,image_name,same_image_cosine,mismatched_image_cosine,same_minus_mismatched_cosine,same_image_sign_agreement,mismatched_image_sign_agreement
vit_base_patch16_224,cait_s24_224,semantic_covariance,53,ILSVRC2012_val_00040966.JPEG,0.007049853913486004,0.008123627863824368,-0.0010737739503383636,0.4884694218635559,0.49067485332489014
vit_base_patch16_224,cait_s24_224,semantic_covariance,54,ILSVRC2012_val_00041010.JPEG,0.006890025921165943,-0.0009936369024217129,0.007883662357926369,0.49082162976264954,0.4933362603187561
vit_base_patch16_224,cait_s24_224,semantic_covariance,55,ILSVRC2012_val_00041063.JPEG,0.04090290516614914,-0.0022889580577611923,0.04319186508655548,0.4967114329338074,0.49752864241600037
vit_base_patch16_224,cait_s24_224,semantic_covariance,56,ILSVRC2012_val_00041080.JPEG,0.025101078674197197,-0.006505635567009449,0.03160671517252922,0.5121008157730103,0.4942069947719574
vit_base_patch16_224,cait_s24_224,semantic_covariance,57,ILSVRC2012_val_00041241.JPEG,0.0038894335739314556,-0.0005827238201163709,0.0044721574522554874,0.49277132749557495,0.49092188477516174
vit_base_patch16_224,cait_s24_224,semantic_covariance,58,ILSVRC2012_val_00041354.JPEG,-0.018025849014520645,0.005118600092828274,-0.023144450038671494,0.4805219769477844,0.49192744493484497
vit_base_patch16_224,cait_s24_224,semantic_covariance,59,ILSVRC2012_val_00041406.JPEG,0.0031900873873382807,0.0032443965319544077,-5.4309144616127014e-05,0.4923864006996155,0.4930005967617035
vit_base_patch16_224,cait_s24_224,semantic_covariance,60,ILSVRC2012_val_00041468.JPEG,-0.0377156063914299,-0.005249849520623684,-0.03246575593948364,0.48429402709007263,0.48615771532058716
vit_base_patch16_224,cait_s24_224,semantic_covariance,61,ILSVRC2012_val_00041474.JPEG,0.009306958876550198,0.006216835230588913,0.0030901236459612846,0.5047270655632019,0.49406394362449646
vit_base_patch16_224,cait_s24_224,semantic_covariance,62,ILSVRC2012_val_00041483.JPEG,-0.005050494335591793,-0.0019200698006898165,-0.0031304245349019766,0.4911927580833435,0.4942132532596588
vit_base_patch16_224,cait_s24_224,semantic_covariance,63,ILSVRC2012_val_00041486.JPEG,0.0010846545919775963,-0.004328777082264423,0.00541343167424202,0.49359244108200073,0.49344611167907715
vit_base_patch16_224,cait_s24_224,shuffled_semantic_covariance,0,ILSVRC2012_val_00037758.JPEG,-0.006963062100112438,0.006289402488619089,-0.013252465054392815,0.4729512333869934,0.4761721193790436
vit_base_patch16_224,cait_s24_224,shuffled_semantic_covariance,1,ILSVRC2012_val_00037916.JPEG,0.006381213665008545,-0.0027274617459625006,0.00910867564380169,0.48707929253578186,0.47996675968170166
vit_base_patch16_224,cait_s24_224,shuffled_semantic_covariance,2,ILSVRC2012_val_00037926.JPEG,0.005583237856626511,0.004368902184069157,0.001214335672557354,0.4886355996131897,0.48555120825767517
vit_base_patch16_224,cait_s24_224,shuffled_semantic_covariance,3,ILSVRC2012_val_00037929.JPEG,-0.09221115708351135,-0.00025863212067633867,-0.09195252507925034,0.4552110731601715,0.48792335391044617
vit_base_patch16_224,cait_s24_224,shuffled_semantic_covariance,4,ILSVRC2012_val_00038033.JPEG,0.004570327699184418,-0.006780409719794989,0.011350737884640694,0.4772804379463196,0.4703448414802551
vit_base_patch16_224,cait_s24_224,shuffled_semantic_covariance,5,ILSVRC2012_val_00038096.JPEG,-0.0016067961696535349,-0.0030357232317328453,0.0014289270620793104,0.48174193501472473,0.4815947115421295
vit_base_patch16_224,cait_s24_224,shuffled_semantic_covariance,6,ILSVRC2012_val_00038110.JPEG,0.01477208361029625,0.002970464061945677,0.011801619082689285,0.4915950298309326,0.48608240485191345
vit_base_patch16_224,cait_s24_224,shuffled_semantic_covariance,7,ILSVRC2012_val_00038142.JPEG,-0.015818733721971512,0.01101963222026825,-0.02683836594223976,0.4791950583457947,0.4857332706451416
vit_base_patch16_224,cait_s24_224,shuffled_semantic_covariance,8,ILSVRC2012_val_00038157.JPEG,-0.011573177762329578,0.004353089723736048,-0.015926267951726913,0.46886157989501953,0.48369091749191284
vit_base_patch16_224,cait_s24_224,shuffled_semantic_covariance,9,ILSVRC2012_val_00038221.JPEG,-0.009684296324849129,0.0019110735738649964,-0.01159537024796009,0.4619119465351105,0.4584237337112427
vit_base_patch16_224,cait_s24_224,shuffled_semantic_covariance,10,ILSVRC2012_val_00038236.JPEG,0.0017888459842652082,-0.004626227542757988,0.00641507375985384,0.47934818267822266,0.4846803545951843
vit_base_patch16_224,cait_s24_224,shuffled_semantic_covariance,11,ILSVRC2012_val_00038251.JPEG,0.0049575441516935825,0.0013500232016667724,0.0036075208336114883,0.4853588044643402,0.4807794690132141
vit_base_patch16_224,cait_s24_224,shuffled_semantic_covariance,12,ILSVRC2012_val_00038413.JPEG,0.0005656704306602478,-0.0013245507143437862,0.001890221145004034,0.4628952741622925,0.4682905375957489
vit_base_patch16_224,cait_s24_224,shuffled_semantic_covariance,13,ILSVRC2012_val_00038427.JPEG,0.003903459757566452,0.006305535323917866,-0.0024020755663514137,0.48072728514671326,0.4754401445388794
vit_base_patch16_224,cait_s24_224,shuffled_semantic_covariance,14,ILSVRC2012_val_00038546.JPEG,0.039566852152347565,-0.0013015426229685545,0.04086839407682419,0.5041059255599976,0.48015549778938293
vit_base_patch16_224,cait_s24_224,shuffled_semantic_covariance,15,ILSVRC2012_val_00038597.JPEG,-0.002182402415201068,0.0013788918731734157,-0.0035612941719591618,0.4889337718486786,0.4928678274154663
vit_base_patch16_224,cait_s24_224,shuffled_semantic_covariance,16,ILSVRC2012_val_00038607.JPEG,0.011026144027709961,0.002560508204624057,0.00846563559025526,0.4935070872306824,0.4841258227825165
