source_model,condition,sample_index,image_name,preserved_view_fraction,mean_route_distance,mean_global_cosine,mean_view_js,weight_entropy,clean_route_gradient_cosine,view_cosine_to_raw_mean,view_sign_agreement,view_effective_rank
cait_s24_224,semantic_equivalent_opponent,31,ILSVRC2012_val_00032695.JPEG,0.4000000059604645,0.2728571593761444,0.9694094061851501,0.005287991836667061,2.7700841426849365,0.022116689011454582,0.18748335540294647,0.5732189416885376,19.825023651123047
cait_s24_224,semantic_equivalent_opponent,32,ILSVRC2012_val_00032723.JPEG,0.699999988079071,0.4176633059978485,0.9823940396308899,0.0007470330456271768,2.9535975456237793,-0.014781751669943333,0.22393332421779633,0.5735418200492859,19.918527603149414
cait_s24_224,semantic_equivalent_opponent,33,ILSVRC2012_val_00032911.JPEG,0.3499999940395355,0.17437754571437836,0.976567268371582,0.005038264207541943,2.873879909515381,0.10195586085319519,0.32252466678619385,0.5879324674606323,18.82514190673828
cait_s24_224,semantic_equivalent_opponent,34,ILSVRC2012_val_00032926.JPEG,0.0,0.3165102005004883,0.9566087126731873,0.014119002036750317,2.5753560066223145,0.031632401049137115,0.17514176666736603,0.5672233700752258,19.918071746826172
cait_s24_224,semantic_equivalent_opponent,35,ILSVRC2012_val_00032950.JPEG,0.0,0.1878112107515335,0.9544910788536072,0.014651991426944733,2.36128568649292,-2.5608460418879986e-06,0.18794035911560059,0.5764801502227783,19.880653381347656
cait_s24_224,semantic_equivalent_opponent,36,ILSVRC2012_val_00033014.JPEG,0.0,0.578948974609375,0.9105023741722107,0.025233572348952293,2.071913480758667,0.0501711443066597,0.18241532146930695,0.5607743859291077,19.002790451049805
cait_s24_224,semantic_equivalent_opponent,37,ILSVRC2012_val_00033018.JPEG,0.0,0.4265356957912445,0.8905588388442993,0.022593645378947258,2.338789701461792,0.05456499755382538,0.18713794648647308,0.5463358759880066,19.709440231323242
cait_s24_224,semantic_equivalent_opponent,38,ILSVRC2012_val_00033076.JPEG,0.0,0.3812551200389862,0.9631423950195312,0.00544729782268405,2.768035888671875,0.15639743208885193,0.23113177716732025,0.5755969285964966,19.71881675720215
cait_s24_224,semantic_equivalent_opponent,39,ILSVRC2012_val_00033149.JPEG,0.0,0.5266990065574646,0.9097175002098083,0.09626644849777222,1.9310840368270874,0.371881902217865,0.4005315899848938,0.5780947804450989,15.373533248901367
cait_s24_224,semantic_equivalent_opponent,40,ILSVRC2012_val_00033150.JPEG,1.0,0.2552499771118164,0.9877595901489258,0.0012092977995052934,2.9752793312072754,0.028795719146728516,0.21682579815387726,0.5640748143196106,19.94742774963379
