model,split,calibration_size,evaluation_size,selected_strategy,calibration_selection_metric,calibration_selected_delta,calibration_delta_high,calibration_delta_low,calibration_delta_deviation,evaluation_loss_delta_vs_random,evaluation_logit_delta_vs_random
visformer_small,37,64,64,high_score_extreme,logit,0.051356688141822815,0.051356688141822815,0.050129108130931854,0.047853536903858185,-0.010884443094255403,-0.03312868997454643
visformer_small,38,64,64,low_score_extreme,logit,0.012790869921445847,-0.005282115191221237,0.012790869921445847,0.0013021565973758698,0.013999442162457854,0.047749973833560944
visformer_small,39,64,64,low_score_extreme,logit,0.058361055329442024,0.03599720634520054,0.058361055329442024,0.039590420201420784,-0.02086028625490144,0.002179788425564766
visformer_small,40,64,64,low_score_extreme,logit,0.042827459052205086,0.002115609124302864,0.042827459052205086,0.011007348075509071,-0.007184434973169118,0.017713384702801704
visformer_small,41,64,64,low_score_extreme,logit,0.015583368018269539,0.008762689307332039,0.015583368018269539,0.011789621785283089,-0.004895586287602782,0.04495747573673725
visformer_small,42,64,64,score_deviation_extreme,logit,0.017003927379846573,0.013524454087018967,0.00841447338461876,0.017003927379846573,-0.0027379393577575684,0.02965032309293747
visformer_small,43,64,64,high_score_extreme,logit,0.02574281021952629,0.02574281021952629,0.022472698241472244,0.00981895998120308,-0.012111142510548234,-0.0075148120522499084
visformer_small,44,64,64,score_deviation_extreme,logit,0.020860567688941956,0.011159010231494904,0.008736051619052887,0.020860567688941956,0.004125334322452545,0.025793682783842087
visformer_small,45,64,64,low_score_extreme,logit,0.04186597838997841,0.019959915429353714,0.04186597838997841,0.018769491463899612,-0.013836526894010603,0.01867486536502838
visformer_small,46,64,64,low_score_extreme,logit,0.022341223433613777,-0.0013535227626562119,0.022341223433613777,0.012189747765660286,0.0024556886637583375,0.03819962032139301
visformer_small,47,64,64,low_score_extreme,logit,0.04382656142115593,0.014241080731153488,0.04382656142115593,0.024617325514554977,-0.012459748541004956,0.01671428233385086
visformer_small,48,64,64,low_score_extreme,logit,0.013606617227196693,0.012749025598168373,0.013606617227196693,0.010565998032689095,0.008880877314368263,0.0469342265278101
visformer_small,49,64,64,high_score_extreme,logit,0.03124331682920456,0.03124331682920456,-0.003168664872646332,0.009368717670440674,-0.0032527205476071686,-0.013015318661928177
visformer_small,50,64,64,low_score_extreme,logit,0.028256375342607498,0.0008840225636959076,0.028256375342607498,0.02347341552376747,0.00046448243665508926,0.03228446841239929
visformer_small,51,64,64,score_deviation_extreme,logit,0.010099567472934723,-0.025840774178504944,0.004509836435317993,0.010099567472934723,0.006164279126096517,0.03655468299984932
visformer_small,52,64,64,low_score_extreme,logit,0.034204473719000816,-0.002827795222401619,0.034204473719000816,0.02274390123784542,-0.0001958502980414778,0.026336370036005974
visformer_small,53,64,64,score_deviation_extreme,logit,0.04160681925714016,-0.018810870125889778,0.04022705368697643,0.04160681925714016,-0.009715101186884567,0.005047431215643883
visformer_small,54,64,64,low_score_extreme,logit,0.04529544524848461,0.013790270313620567,0.04529544524848461,0.021899579092860222,-0.007778993429383263,0.015245398506522179
visformer_small,55,64,64,high_score_extreme,logit,0.005692724138498306,0.005692724138498306,-0.008491110056638718,-0.023964572697877884,0.005372367886593565,0.012535274028778076
visformer_small,56,64,64,low_score_extreme,logit,0.03932325728237629,-0.036152658984065056,0.03932325728237629,0.016053171828389168,-0.0016910536214709282,0.0212175864726305
visformer_small,57,64,64,high_score_extreme,logit,0.019399194046854973,0.019399194046854973,0.0180648323148489,0.010049743577837944,-0.00636385177494958,-0.0011711958795785904
visformer_small,58,64,64,high_score_extreme,logit,0.04198666103184223,0.04198666103184223,0.030760200694203377,0.014967719092965126,-0.017742278840159997,-0.02375866286456585
visformer_small,59,64,64,high_score_extreme,logit,0.007427334785461426,0.007427334785461426,-0.0037706345319747925,-0.011320963501930237,0.004174759262241423,0.010800663381814957
visformer_small,60,64,64,low_score_extreme,logit,0.025919286534190178,-0.00019540823996067047,0.025919286534190178,0.00840071402490139,0.007820067286957055,0.03462155722081661
visformer_small,61,64,64,score_deviation_extreme,logit,0.04346568509936333,-0.0004797615110874176,0.0398588664829731,0.04346568509936333,-0.013364481768803671,0.0031885653734207153
visformer_small,62,64,64,low_score_extreme,logit,0.039530495181679726,0.003992730751633644,0.039530495181679726,0.03457462228834629,-0.014746944361831993,0.021010348573327065
visformer_small,63,64,64,low_score_extreme,logit,0.02230578474700451,0.009189574047923088,0.02230578474700451,-0.0007037017494440079,-0.005204722518101335,0.03823505900800228
