source_model,sample_index,image_name,layer,condition,global_polarity,global_mode,grid_h,grid_w,drop_count,drop_ratio,global_cosine_clean_masked,kept_token_cosine_clean_masked,score_map_spearman_clean_masked,clean_route_gradient_cosine,view_cosine_to_raw_mean,view_sign_agreement,view_effective_rank
pit_b_224,29,ILSVRC2012_val_00026202.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.949044942855835,0.7944933772087097,0.40906593203544617,0.07070253789424896,0.3173656463623047,0.5060789585113525,19.421850204467773
pit_b_224,30,ILSVRC2012_val_00026226.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9755792021751404,0.8173221945762634,0.20906591415405273,0.013075475580990314,0.2078775018453598,0.4675229787826538,19.698246002197266
pit_b_224,31,ILSVRC2012_val_00026280.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9567235112190247,0.8556132912635803,0.3312270939350128,0.0008840499212965369,0.3002638518810272,0.48546814918518066,18.8414363861084
pit_b_224,32,ILSVRC2012_val_00026315.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9855553507804871,0.8712407350540161,0.5832417011260986,0.07168184220790863,0.3060164153575897,0.487445205450058,19.30915069580078
pit_b_224,33,ILSVRC2012_val_00026328.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9770810008049011,0.8830925226211548,0.3433150053024292,0.04143071547150612,0.31281423568725586,0.49680855870246887,19.19546890258789
pit_b_224,34,ILSVRC2012_val_00026332.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9842542409896851,0.8745125532150269,0.3970695436000824,-0.04576171562075615,0.2826599180698395,0.47937294840812683,19.616117477416992
pit_b_224,35,ILSVRC2012_val_00026390.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9685848951339722,0.866635799407959,0.2828754186630249,0.06419476866722107,0.350525438785553,0.5120767951011658,18.82086944580078
pit_b_224,36,ILSVRC2012_val_00026397.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9897212386131287,0.9081009030342102,0.4754120707511902,0.014329974539577961,0.22931313514709473,0.4905429482460022,19.550199508666992
pit_b_224,37,ILSVRC2012_val_00026436.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.981617271900177,0.8858935832977295,0.4993589520454407,0.04376668483018875,0.3289828896522522,0.49377623200416565,19.16161346435547
pit_b_224,38,ILSVRC2012_val_00026490.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9888612627983093,0.916257381439209,0.33072343468666077,0.09129400551319122,0.26199445128440857,0.4677664637565613,18.59758949279785
pit_b_224,39,ILSVRC2012_val_00026510.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9898672699928284,0.8334252834320068,0.18498167395591736,0.12423723191022873,0.39918991923332214,0.5287165641784668,17.79348373413086
pit_b_224,40,ILSVRC2012_val_00026559.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9907643795013428,0.8933857083320618,0.2799908220767975,0.030064919963479042,0.2979794144630432,0.4979415833950043,19.557497024536133
pit_b_224,41,ILSVRC2012_val_00026627.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9779962301254272,0.9141136407852173,0.6371336579322815,0.03690280765295029,0.28190138936042786,0.4984019696712494,19.58488655090332
pit_b_224,42,ILSVRC2012_val_00026692.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9792075157165527,0.8843830227851868,0.326785683631897,0.33322203159332275,0.3552435338497162,0.4987749755382538,17.598087310791016
pit_b_224,43,ILSVRC2012_val_00026737.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9807289242744446,0.8201849460601807,0.00366298109292984,0.14347314834594727,0.3592861592769623,0.5188482999801636,18.61710548400879
pit_b_224,44,ILSVRC2012_val_00026743.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9650560617446899,0.8692927956581116,0.3680402636528015,0.15909790992736816,0.3612876236438751,0.5158830881118774,18.384855270385742
pit_b_224,45,ILSVRC2012_val_00026754.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9823811054229736,0.8718950748443604,0.36762815713882446,0.03236448019742966,0.293118417263031,0.498489648103714,19.462915420532227
pit_b_224,46,ILSVRC2012_val_00026803.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.973734974861145,0.789827823638916,0.17110803723335266,0.06093858927488327,0.31042441725730896,0.4912654161453247,19.409509658813477
pit_b_224,47,ILSVRC2012_val_00026901.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.952624499797821,0.7987027764320374,0.11446885764598846,0.1474604606628418,0.20970049500465393,0.4610298275947571,19.285396575927734
pit_b_224,48,ILSVRC2012_val_00026916.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9766326546669006,0.8489149808883667,0.2143772691488266,0.03839034587144852,0.27855223417282104,0.4902682602405548,19.697647094726562
pit_b_224,49,ILSVRC2012_val_00026925.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9843328595161438,0.8221962451934814,0.10673076659440994,0.03432841598987579,0.38672399520874023,0.5212395787239075,18.20873260498047
pit_b_224,50,ILSVRC2012_val_00026972.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9916347861289978,0.9172126650810242,0.22605310380458832,0.17766447365283966,0.3576603829860687,0.5040969252586365,18.510255813598633
pit_b_224,51,ILSVRC2012_val_00027124.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9807114601135254,0.88370680809021,0.273901104927063,0.02904253453016281,0.2922857701778412,0.502583920955658,19.578336715698242
pit_b_224,52,ILSVRC2012_val_00027141.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9802541732788086,0.8992779850959778,0.2765567898750305,0.13692301511764526,0.346049040555954,0.4993310272693634,18.872222900390625
pit_b_224,53,ILSVRC2012_val_00027148.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.985339879989624,0.969636857509613,0.40132784843444824,0.038307543843984604,0.3063136041164398,0.5179973244667053,19.223464965820312
pit_b_224,54,ILSVRC2012_val_00027201.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9849820733070374,0.8549550175666809,0.285897433757782,0.012414294295012951,0.2842750549316406,0.4897630214691162,19.63929557800293
pit_b_224,55,ILSVRC2012_val_00027287.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.980675220489502,0.9097087979316711,0.4038003385066986,0.08638453483581543,0.37535184621810913,0.5132942199707031,18.180349349975586
pit_b_224,56,ILSVRC2012_val_00027348.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9755989909172058,0.8823692798614502,0.14615383744239807,0.048852697014808655,0.3750547170639038,0.5112277865409851,18.102397918701172
pit_b_224,57,ILSVRC2012_val_00027385.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9805240631103516,0.8730593323707581,0.2728937864303589,0.12163634598255157,0.3641943633556366,0.5187510251998901,18.59739112854004
pit_b_224,58,ILSVRC2012_val_00027498.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9877806901931763,0.8533912897109985,0.19935894012451172,0.012541405856609344,0.2721647322177887,0.48861539363861084,19.801162719726562
pit_b_224,59,ILSVRC2012_val_00027530.JPEG,stage3_block2,opposite,high,cls,8,8,10,0.15625,0.9861542582511902,0.811303436756134,0.3711538314819336,-0.005270073190331459,0.254190593957901,0.4945804178714752,19.57297706604004
