source_model,sample_index,image_name,condition,selected_common_patches,clean_route_gradient_cosine,view_cosine_to_raw_mean,view_sign_agreement,view_effective_rank
pit_b_224,19,ILSVRC2012_val_00032039.JPEG,random,7,0.44209861755371094,0.5635913014411926,0.6678853631019592,5.175477504730225
pit_b_224,20,ILSVRC2012_val_00032046.JPEG,random,7,0.6375947594642639,0.5898475050926208,0.7024284601211548,5.45930290222168
pit_b_224,21,ILSVRC2012_val_00032097.JPEG,random,7,0.4104260802268982,0.5830209255218506,0.6879643797874451,4.909140110015869
pit_b_224,22,ILSVRC2012_val_00032098.JPEG,random,7,0.3241952359676361,0.5791094899177551,0.6926342844963074,5.86846923828125
pit_b_224,23,ILSVRC2012_val_00032102.JPEG,random,7,0.07794558256864548,0.5395166277885437,0.6774826049804688,7.885068893432617
pit_b_224,24,ILSVRC2012_val_00032120.JPEG,random,7,0.27062591910362244,0.4779117703437805,0.6607733964920044,10.07921028137207
pit_b_224,25,ILSVRC2012_val_00032188.JPEG,random,7,0.38311171531677246,0.5405256748199463,0.7017000317573547,6.760304927825928
pit_b_224,26,ILSVRC2012_val_00032370.JPEG,random,7,-0.012510652653872967,0.5926536917686462,0.6913381814956665,5.639681816101074
pit_b_224,27,ILSVRC2012_val_00032435.JPEG,random,7,0.19831052422523499,0.4906003177165985,0.6659657955169678,8.871225357055664
pit_b_224,28,ILSVRC2012_val_00032552.JPEG,random,7,0.3599779009819031,0.5936324000358582,0.7072145938873291,5.286599159240723
pit_b_224,29,ILSVRC2012_val_00032623.JPEG,random,7,0.4805796146392822,0.5591682195663452,0.6736806631088257,8.54716682434082
pit_b_224,30,ILSVRC2012_val_00032646.JPEG,random,7,0.31291717290878296,0.617324709892273,0.690689742565155,4.490872859954834
pit_b_224,31,ILSVRC2012_val_00032695.JPEG,random,7,-0.08904704451560974,0.4640416204929352,0.6729123592376709,8.348499298095703
pit_b_224,32,ILSVRC2012_val_00032723.JPEG,random,7,0.05480286106467247,0.5214330554008484,0.6651397347450256,7.252818584442139
pit_b_224,33,ILSVRC2012_val_00032911.JPEG,random,7,0.1152433305978775,0.5249358415603638,0.6755145192146301,7.932575225830078
pit_b_224,34,ILSVRC2012_val_00032926.JPEG,random,7,0.36806464195251465,0.5225397944450378,0.6837777495384216,7.834907054901123
pit_b_224,35,ILSVRC2012_val_00032950.JPEG,random,7,0.1483154594898224,0.4951082170009613,0.675585925579071,10.156832695007324
pit_b_224,36,ILSVRC2012_val_00033014.JPEG,random,7,0.5309346318244934,0.5783199667930603,0.6779751777648926,6.078967571258545
pit_b_224,37,ILSVRC2012_val_00033018.JPEG,random,7,0.6017380952835083,0.5578005313873291,0.6906452775001526,8.375832557678223
pit_b_224,38,ILSVRC2012_val_00033076.JPEG,random,7,0.19097058475017548,0.5874528884887695,0.6766604781150818,6.380296230316162
pit_b_224,39,ILSVRC2012_val_00033149.JPEG,random,7,0.6558430194854736,0.6085813045501709,0.7033950686454773,6.506787300109863
pit_b_224,40,ILSVRC2012_val_00033150.JPEG,random,7,0.31393179297447205,0.5400835275650024,0.6815472841262817,6.4804863929748535
pit_b_224,41,ILSVRC2012_val_00033171.JPEG,random,7,0.6529695391654968,0.5680762529373169,0.6975529193878174,4.049123764038086
pit_b_224,42,ILSVRC2012_val_00033207.JPEG,random,7,0.21649441123008728,0.5730549693107605,0.6801146864891052,5.93538236618042
pit_b_224,43,ILSVRC2012_val_00033255.JPEG,random,7,0.19010883569717407,0.4398364722728729,0.6538670659065247,13.645873069763184
pit_b_224,44,ILSVRC2012_val_00033340.JPEG,random,7,0.4197310507297516,0.4843720495700836,0.6648590564727783,8.56200885772705
pit_b_224,45,ILSVRC2012_val_00033725.JPEG,random,7,0.37570059299468994,0.5873507857322693,0.6965933442115784,4.8691511154174805
pit_b_224,46,ILSVRC2012_val_00033897.JPEG,random,7,0.2162741720676422,0.5295540690422058,0.684920072555542,8.59047794342041
pit_b_224,47,ILSVRC2012_val_00033960.JPEG,random,7,0.021530162543058395,0.5248756408691406,0.677825391292572,7.916921138763428
