condition,sample_index,source_alignment_to_opponent,semantic_final_global_cosine,semantic_early_global_cosine,semantic_final_gradient_alignment,semantic_early_gradient_alignment,semantic_layer_alignment_mean,consensus_max_weight,consensus_effective_layers,image_name
uniform_multilayer_residual,37,0.9701424837112427,0.9725805521011353,0.9994719624519348,0.24507743120193481,0.11881697177886963,0.18130138516426086,0.3535986542701721,3.7073235511779785,ILSVRC2012_val_00033018.JPEG
consensus_multilayer_residual,36,0.9701424837112427,0.9660614728927612,0.999552845954895,0.14581739902496338,0.07382568717002869,0.16266988217830658,0.36067667603492737,3.545480489730835,ILSVRC2012_val_00033014.JPEG
consensus_multilayer_residual,37,0.9701425433158875,0.9725805521011353,0.9994719624519348,0.2534600496292114,0.0428963229060173,0.17918285727500916,0.3535986542701721,3.7073235511779785,ILSVRC2012_val_00033018.JPEG
opponent_baseline,38,1.0,0.9378790855407715,0.9994806051254272,-0.08291144669055939,0.0026625734753906727,-0.027397312223911285,0.33367425203323364,3.8242485523223877,ILSVRC2012_val_00033076.JPEG
opponent_baseline,39,0.9999999403953552,0.97499018907547,0.9998403787612915,0.13666972517967224,-0.010462170466780663,0.024169648066163063,0.3698989748954773,3.6541225910186768,ILSVRC2012_val_00033149.JPEG
semantic_only,38,-0.08291144669055939,0.9378790855407715,0.9994806051254272,1.0,0.011854669079184532,0.34154507517814636,0.33367425203323364,3.8242485523223877,ILSVRC2012_val_00033076.JPEG
semantic_only,39,0.13666971027851105,0.97499018907547,0.9998403787612915,1.0,0.04577051103115082,0.44511929154396057,0.3698989748954773,3.6541225910186768,ILSVRC2012_val_00033149.JPEG
shuffled_semantic,38,0.9701424837112427,0.9378790855407715,0.9994806051254272,-0.05389390140771866,0.0018413785146549344,-0.018583135679364204,0.33367425203323364,3.8242485523223877,ILSVRC2012_val_00033076.JPEG
shuffled_semantic,39,0.9701425433158875,0.97499018907547,0.9998403787612915,0.14555977284908295,-0.010023168288171291,0.027097539976239204,0.3698989748954773,3.6541225910186768,ILSVRC2012_val_00033149.JPEG
final_semantic_residual,38,0.9701425433158875,0.9378790855407715,0.9994806051254272,0.16126464307308197,0.0055219149217009544,0.05599091574549675,0.33367425203323364,3.8242485523223877,ILSVRC2012_val_00033076.JPEG
final_semantic_residual,39,0.9701426029205322,0.97499018907547,0.9998403787612915,0.3728489279747009,0.0014064108254387975,0.13161912560462952,0.3698989748954773,3.6541225910186768,ILSVRC2012_val_00033149.JPEG
early_semantic_residual,38,0.9701425433158875,0.9378790855407715,0.9994806051254272,-0.07750718295574188,0.24511785805225372,0.060357384383678436,0.33367425203323364,3.8242485523223877,ILSVRC2012_val_00033076.JPEG
early_semantic_residual,39,0.9701423645019531,0.97499018907547,0.9998403787612915,0.14403748512268066,0.23237255215644836,0.11181670427322388,0.3698989748954773,3.6541225910186768,ILSVRC2012_val_00033149.JPEG
uniform_multilayer_residual,38,0.9701425433158875,0.9378790855407715,0.9994806051254272,0.04788341000676155,0.15526707470417023,0.12737086415290833,0.33367425203323364,3.8242485523223877,ILSVRC2012_val_00033076.JPEG
uniform_multilayer_residual,39,0.9701425433158875,0.97499018907547,0.9998403787612915,0.2872702181339264,0.12805482745170593,0.192080557346344,0.3698989748954773,3.6541225910186768,ILSVRC2012_val_00033149.JPEG
consensus_multilayer_residual,38,0.9701424837112427,0.9378790855407715,0.9994806051254272,0.02349064312875271,0.132389634847641,0.1264393925666809,0.33367425203323364,3.8242485523223877,ILSVRC2012_val_00033076.JPEG
consensus_multilayer_residual,39,0.9701424837112427,0.97499018907547,0.9998403787612915,0.2770465612411499,0.08104423433542252,0.18908590078353882,0.3698989748954773,3.6541225910186768,ILSVRC2012_val_00033149.JPEG
opponent_baseline,40,1.0,0.9869369864463806,0.998516321182251,0.022597886621952057,-0.009597009047865868,0.019279982894659042,0.36848798394203186,3.6143174171447754,ILSVRC2012_val_00033150.JPEG
opponent_baseline,41,0.9999999403953552,0.9918088912963867,0.9996363520622253,0.009506311267614365,-0.0003092056140303612,-0.002311110496520996,0.36860910058021545,3.520153522491455,ILSVRC2012_val_00033171.JPEG
semantic_only,40,0.022597886621952057,0.9869369864463806,0.998516321182251,1.0000001192092896,0.0027417559176683426,0.40641850233078003,0.36848798394203186,3.6143174171447754,ILSVRC2012_val_00033150.JPEG
semantic_only,41,0.009506311267614365,0.9918088912963867,0.9996363520622253,0.9999998807907104,0.03218194842338562,0.3858483135700226,0.36860910058021545,3.520153522491455,ILSVRC2012_val_00033171.JPEG
shuffled_semantic,40,0.9701425433158875,0.9869369864463806,0.998516321182251,0.021952789276838303,-0.0091366246342659,0.01879247836768627,0.36848798394203186,3.6143174171447754,ILSVRC2012_val_00033150.JPEG
shuffled_semantic,41,0.9701425433158875,0.9918088912963867,0.9996363520622253,0.008708037436008453,-0.0015772930346429348,-0.0029431236907839775,0.36860910058021545,3.520153522491455,ILSVRC2012_val_00033171.JPEG
final_semantic_residual,40,0.9701425433158875,0.9869369864463806,0.998516321182251,0.2643968462944031,-0.00859270989894867,0.1171947568655014,0.36848798394203186,3.6143174171447754,ILSVRC2012_val_00033150.JPEG
final_semantic_residual,41,0.9701425433158875,0.9918088912963867,0.9996363520622253,0.25174713134765625,0.007506362162530422,0.09134941548109055,0.36860910058021545,3.520153522491455,ILSVRC2012_val_00033171.JPEG
early_semantic_residual,40,0.9701424837112427,0.9869369864463806,0.998516321182251,0.02264077588915825,0.23321399092674255,0.08582289516925812,0.36848798394203186,3.6143174171447754,ILSVRC2012_val_00033150.JPEG
early_semantic_residual,41,0.9701424837112427,0.9918088912963867,0.9996363520622253,0.017028460279107094,0.24223566055297852,0.051315635442733765,0.36860910058021545,3.520153522491455,ILSVRC2012_val_00033171.JPEG
uniform_multilayer_residual,40,0.9701424837112427,0.9869369864463806,0.998516321182251,0.17807237803936005,0.10352811962366104,0.17673860490322113,0.36848798394203186,3.6143174171447754,ILSVRC2012_val_00033150.JPEG
uniform_multilayer_residual,41,0.9701424837112427,0.9918088912963867,0.9996363520622253,0.17534250020980835,0.08460811525583267,0.15071424841880798,0.36860910058021545,3.520153522491455,ILSVRC2012_val_00033171.JPEG
consensus_multilayer_residual,40,0.9701424837112427,0.9869369864463806,0.998516321182251,0.1658099740743637,0.039610739797353745,0.17200925946235657,0.36848798394203186,3.6143174171447754,ILSVRC2012_val_00033150.JPEG
consensus_multilayer_residual,41,0.9701424837112427,0.9918088912963867,0.9996363520622253,0.1470905989408493,0.012733053416013718,0.1440565288066864,0.36860910058021545,3.520153522491455,ILSVRC2012_val_00033171.JPEG
opponent_baseline,42,0.9999998807907104,0.9120600819587708,0.9991679191589355,0.043938037008047104,-0.007164474576711655,0.017821837216615677,0.3683339059352875,3.785677671432495,ILSVRC2012_val_00033207.JPEG
opponent_baseline,43,1.0,0.9864219427108765,0.9995690584182739,0.11265832185745239,-0.004110544454306364,0.02831997349858284,0.3612927794456482,3.5786259174346924,ILSVRC2012_val_00033255.JPEG
semantic_only,42,0.043938033282756805,0.9120600819587708,0.9991679191589355,1.0,0.023685626685619354,0.40627217292785645,0.3683339059352875,3.785677671432495,ILSVRC2012_val_00033207.JPEG
semantic_only,43,0.11265832185745239,0.9864219427108765,0.9995690584182739,1.0,0.057286813855171204,0.516663670539856,0.3612927794456482,3.5786259174346924,ILSVRC2012_val_00033255.JPEG
shuffled_semantic,42,0.9701424837112427,0.9120600819587708,0.9991679191589355,0.04176265001296997,-0.007022596895694733,0.01611878164112568,0.3683339059352875,3.785677671432495,ILSVRC2012_val_00033207.JPEG
shuffled_semantic,43,0.9701424837112427,0.9864219427108765,0.9995690584182739,0.1178930252790451,-0.004036297556012869,0.03142910450696945,0.3612927794456482,3.5786259174346924,ILSVRC2012_val_00033255.JPEG
final_semantic_residual,42,0.9701425433158875,0.9120600819587708,0.9991679191589355,0.2849275469779968,-0.0011239773593842983,0.11573034524917603,0.3683339059352875,3.785677671432495,ILSVRC2012_val_00033207.JPEG
final_semantic_residual,43,0.9701424837112427,0.9864219427108765,0.9995690584182739,0.35028618574142456,0.010108334943652153,0.15280784666538239,0.3612927794456482,3.5786259174346924,ILSVRC2012_val_00033255.JPEG
early_semantic_residual,42,0.9701425433158875,0.9120600819587708,0.9991679191589355,0.04844726622104645,0.23557886481285095,0.09171830862760544,0.3683339059352875,3.785677671432495,ILSVRC2012_val_00033207.JPEG
early_semantic_residual,43,0.9701424837112427,0.9864219427108765,0.9995690584182739,0.12330114841461182,0.238545760512352,0.09850196540355682,0.3612927794456482,3.5786259174346924,ILSVRC2012_val_00033255.JPEG
uniform_multilayer_residual,42,0.9701424837112427,0.9120600819587708,0.9991679191589355,0.20194804668426514,0.11488592624664307,0.17179715633392334,0.3683339059352875,3.785677671432495,ILSVRC2012_val_00033207.JPEG
uniform_multilayer_residual,43,0.9701424241065979,0.9864219427108765,0.9995690584182739,0.28093844652175903,0.11825196444988251,0.1958390474319458,0.3612927794456482,3.5786259174346924,ILSVRC2012_val_00033255.JPEG
consensus_multilayer_residual,42,0.9701424837112427,0.9120600819587708,0.9991679191589355,0.20666152238845825,0.06649357080459595,0.168572798371315,0.3683339059352875,3.785677671432495,ILSVRC2012_val_00033207.JPEG
consensus_multilayer_residual,43,0.9701424837112427,0.9864219427108765,0.9995690584182739,0.29005229473114014,0.04214358329772949,0.19138023257255554,0.3612927794456482,3.5786259174346924,ILSVRC2012_val_00033255.JPEG
opponent_baseline,44,1.0000001192092896,0.973105788230896,0.9994579553604126,0.001882792916148901,-0.005953120067715645,0.006952580995857716,0.38555413484573364,3.460724353790283,ILSVRC2012_val_00033340.JPEG
opponent_baseline,45,1.0000001192092896,0.9592767953872681,0.9979123473167419,0.07183587551116943,0.013188967481255531,0.028311852365732193,0.3909563422203064,3.5973620414733887,ILSVRC2012_val_00033725.JPEG
semantic_only,44,0.0018827924504876137,0.973105788230896,0.9994579553604126,1.0,-0.021518779918551445,0.45770618319511414,0.38555413484573364,3.460724353790283,ILSVRC2012_val_00033340.JPEG
semantic_only,45,0.07183587551116943,0.9592767953872681,0.9979123473167419,0.9999998807907104,0.01585961878299713,0.47510701417922974,0.3909563422203064,3.5973620414733887,ILSVRC2012_val_00033725.JPEG
shuffled_semantic,44,0.9701424837112427,0.973105788230896,0.9994579553604126,0.008681554347276688,-0.005797587335109711,0.009601452387869358,0.38555413484573364,3.460724353790283,ILSVRC2012_val_00033340.JPEG
shuffled_semantic,45,0.9701426029205322,0.9592767953872681,0.9979123473167419,0.06951052695512772,0.012198081240057945,0.02657361701130867,0.3909563422203064,3.5973620414733887,ILSVRC2012_val_00033725.JPEG
final_semantic_residual,44,0.9701425433158875,0.973105788230896,0.9994579553604126,0.2443617731332779,-0.010991735383868217,0.1177520677447319,0.38555413484573364,3.460724353790283,ILSVRC2012_val_00033340.JPEG
final_semantic_residual,45,0.9701425433158875,0.9592767953872681,0.9979123473167419,0.31160005927085876,0.016421280801296234,0.1425008475780487,0.3909563422203064,3.5973620414733887,ILSVRC2012_val_00033725.JPEG
early_semantic_residual,44,0.9701425433158875,0.973105788230896,0.9994579553604126,-0.0033898656256496906,0.23675593733787537,0.06805794686079025,0.38555413484573364,3.460724353790283,ILSVRC2012_val_00033340.JPEG
early_semantic_residual,45,0.9701425433158875,0.9592767953872681,0.9979123473167419,0.0733080804347992,0.25530970096588135,0.09043348580598831,0.3909563422203064,3.5973620414733887,ILSVRC2012_val_00033725.JPEG
uniform_multilayer_residual,44,0.9701425433158875,0.973105788230896,0.9994579553604126,0.16399140655994415,0.09663289040327072,0.17112967371940613,0.38555413484573364,3.460724353790283,ILSVRC2012_val_00033340.JPEG
uniform_multilayer_residual,45,0.9701426029205322,0.9592767953872681,0.9979123473167419,0.23781979084014893,0.12726625800132751,0.1863550841808319,0.3909563422203064,3.5973620414733887,ILSVRC2012_val_00033725.JPEG
consensus_multilayer_residual,44,0.9701425433158875,0.973105788230896,0.9994579553604126,0.1579185575246811,0.02017575316131115,0.1641659140586853,0.38555413484573364,3.460724353790283,ILSVRC2012_val_00033340.JPEG
consensus_multilayer_residual,45,0.9701425433158875,0.9592767953872681,0.9979123473167419,0.2565363347530365,0.050494514405727386,0.18156170845031738,0.3909563422203064,3.5973620414733887,ILSVRC2012_val_00033725.JPEG
opponent_baseline,46,1.0,0.9807703495025635,0.9990780353546143,-0.00464663514867425,0.035704921931028366,-0.012155045755207539,0.39272910356521606,3.6193206310272217,ILSVRC2012_val_00033897.JPEG
opponent_baseline,47,0.9999998807907104,0.9795003533363342,0.9961978197097778,-0.0015523973852396011,-0.004555523861199617,-0.021279992535710335,0.4066745936870575,3.581789255142212,ILSVRC2012_val_00033960.JPEG
semantic_only,46,-0.004646634683012962,0.9807703495025635,0.9990780353546143,1.0,0.09913235157728195,0.49845683574676514,0.39272910356521606,3.6193206310272217,ILSVRC2012_val_00033897.JPEG
semantic_only,47,-0.0015523992478847504,0.9795003533363342,0.9961978197097778,1.0,0.008073409087955952,0.42503607273101807,0.4066745936870575,3.581789255142212,ILSVRC2012_val_00033960.JPEG
shuffled_semantic,46,0.9701424837112427,0.9807703495025635,0.9990780353546143,0.007550188340246677,0.03186565265059471,-0.004704904742538929,0.39272910356521606,3.6193206310272217,ILSVRC2012_val_00033897.JPEG
shuffled_semantic,47,0.9701424837112427,0.9795003533363342,0.9961978197097778,-0.0008685546927154064,-0.003911283798515797,-0.020287031307816505,0.4066745936870575,3.581789255142212,ILSVRC2012_val_00033960.JPEG
final_semantic_residual,46,0.9701424837112427,0.9807703495025635,0.9990780353546143,0.23802509903907776,0.05872248858213425,0.10908901691436768,0.39272910356521606,3.6193206310272217,ILSVRC2012_val_00033897.JPEG
final_semantic_residual,47,0.9701424241065979,0.9795003533363342,0.9961978197097778,0.2410292774438858,-0.002463130746036768,0.08243387937545776,0.4066745936870575,3.581789255142212,ILSVRC2012_val_00033960.JPEG
early_semantic_residual,46,0.9701425433158875,0.9807703495025635,0.9990780353546143,0.01959083043038845,0.27701982855796814,0.0688319131731987,0.39272910356521606,3.6193206310272217,ILSVRC2012_val_00033897.JPEG
early_semantic_residual,47,0.9701424837112427,0.9795003533363342,0.9961978197097778,0.0004503473173826933,0.2381136119365692,0.04258324205875397,0.4066745936870575,3.581789255142212,ILSVRC2012_val_00033960.JPEG
uniform_multilayer_residual,46,0.9701424837112427,0.9807703495025635,0.9990780353546143,0.17281314730644226,0.1494905948638916,0.15796788036823273,0.39272910356521606,3.6193206310272217,ILSVRC2012_val_00033897.JPEG
uniform_multilayer_residual,47,0.9701424241065979,0.9795003533363342,0.9961978197097778,0.14664950966835022,0.12451844662427902,0.1353590190410614,0.4066745936870575,3.581789255142212,ILSVRC2012_val_00033960.JPEG
consensus_multilayer_residual,46,0.9701424837112427,0.9807703495025635,0.9990780353546143,0.17116759717464447,0.09676854312419891,0.15303196012973785,0.39272910356521606,3.6193206310272217,ILSVRC2012_val_00033897.JPEG
consensus_multilayer_residual,47,0.9701424837112427,0.9795003533363342,0.9961978197097778,0.15286721289157867,0.04295917600393295,0.13271662592887878,0.4066745936870575,3.581789255142212,ILSVRC2012_val_00033960.JPEG
opponent_baseline,48,1.0,0.9856767058372498,0.9982858896255493,-0.13387399911880493,0.060021188110113144,-0.005455993115901947,0.4101998507976532,3.5912857055664062,ILSVRC2012_val_00033997.JPEG
opponent_baseline,49,1.0,0.963367223739624,0.9988998770713806,0.02708582952618599,0.005374866537749767,0.008746354840695858,0.3544427454471588,3.545705556869507,ILSVRC2012_val_00034008.JPEG
semantic_only,48,-0.13387399911880493,0.9856767058372498,0.9982858896255493,1.0,-0.057143405079841614,0.36040809750556946,0.4101998507976532,3.5912857055664062,ILSVRC2012_val_00033997.JPEG
semantic_only,49,0.02708582952618599,0.963367223739624,0.9988998770713806,1.0,0.008533010259270668,0.46580302715301514,0.3544427454471588,3.545705556869507,ILSVRC2012_val_00034008.JPEG
shuffled_semantic,48,0.9701424837112427,0.9856767058372498,0.9982858896255493,-0.13307294249534607,0.05745571479201317,-0.006025262176990509,0.4101998507976532,3.5912857055664062,ILSVRC2012_val_00033997.JPEG
shuffled_semantic,49,0.9701426029205322,0.963367223739624,0.9988998770713806,0.02919568121433258,0.006330567412078381,0.009454866871237755,0.3544427454471588,3.545705556869507,ILSVRC2012_val_00034008.JPEG
final_semantic_residual,48,0.9701424837112427,0.9856767058372498,0.9982858896255493,0.11047554016113281,0.04621044546365738,0.08273394405841827,0.4101998507976532,3.5912857055664062,ILSVRC2012_val_00033997.JPEG
final_semantic_residual,49,0.9701425433158875,0.963367223739624,0.9988998770713806,0.2687237858772278,0.007249383721500635,0.12144303321838379,0.3544427454471588,3.545705556869507,ILSVRC2012_val_00034008.JPEG
early_semantic_residual,48,0.9701424837112427,0.9856767058372498,0.9982858896255493,-0.14180883765220642,0.30032745003700256,0.06740233302116394,0.4101998507976532,3.5912857055664062,ILSVRC2012_val_00033997.JPEG
early_semantic_residual,49,0.9701424837112427,0.963367223739624,0.9988998770713806,0.028311392292380333,0.24774649739265442,0.07286616414785385,0.3544427454471588,3.545705556869507,ILSVRC2012_val_00034008.JPEG
