model,sample_index,image_name,strategy,drop_ratio,repeat,clean_correct,route_logit_drop,route_loss_increase,route_prediction_changed,global_feature_shift,kept_local_feature_shift,kept_score_abs_change,gradient_cosine,gradient_norm_ratio
pit_b_224,2,ILSVRC2012_val_00000102.JPEG,score_deviation_extreme,0.15,0,True,0.2816352844238281,0.03247378021478653,False,0.004705488681793213,0.05376465991139412,0.050613466650247574,0.007749219425022602,2.531170129776001
pit_b_224,3,ILSVRC2012_val_00000117.JPEG,score_deviation_extreme,0.15,0,True,0.10433578491210938,0.0043400973081588745,False,0.006663322448730469,0.05483241379261017,0.03682561218738556,0.40391451120376587,0.7076419591903687
pit_b_224,4,ILSVRC2012_val_00000120.JPEG,score_deviation_extreme,0.15,0,True,0.29498958587646484,0.04865945875644684,False,0.015941977500915527,0.04292978718876839,0.04234004020690918,0.01728062331676483,2.1780905723571777
pit_b_224,5,ILSVRC2012_val_00000138.JPEG,score_deviation_extreme,0.15,0,True,-0.014466285705566406,-0.0014791041612625122,False,0.003607630729675293,0.04994325712323189,0.040992967784404755,0.0424533411860466,1.4397635459899902
pit_b_224,6,ILSVRC2012_val_00000166.JPEG,score_deviation_extreme,0.15,0,True,0.07855701446533203,0.0082174614071846,False,0.003177821636199951,0.04698314517736435,0.03409875929355621,0.04392381012439728,2.756356716156006
pit_b_224,7,ILSVRC2012_val_00000262.JPEG,score_deviation_extreme,0.15,0,True,0.09317779541015625,0.010490059852600098,False,0.007711529731750488,0.09410107880830765,0.0570068359375,0.08521455526351929,0.8834738731384277
pit_b_224,0,ILSVRC2012_val_00000031.JPEG,score_deviation_extreme,0.15,1,True,0.2477273941040039,0.030467577278614044,False,0.005605161190032959,0.07096203416585922,0.11145847290754318,-0.013616829179227352,0.734965980052948
pit_b_224,1,ILSVRC2012_val_00000081.JPEG,score_deviation_extreme,0.15,1,True,0.2688608169555664,0.03286905586719513,False,0.012323498725891113,0.1204671636223793,0.11639469861984253,0.09653007984161377,0.9284260272979736
pit_b_224,2,ILSVRC2012_val_00000102.JPEG,score_deviation_extreme,0.15,1,True,0.2816352844238281,0.03247378021478653,False,0.004705488681793213,0.05376465991139412,0.050613466650247574,0.007749223615974188,2.531170129776001
pit_b_224,3,ILSVRC2012_val_00000117.JPEG,score_deviation_extreme,0.15,1,True,0.10433578491210938,0.0043400973081588745,False,0.006663322448730469,0.05483241379261017,0.03682561218738556,0.40391451120376587,0.7076419591903687
pit_b_224,4,ILSVRC2012_val_00000120.JPEG,score_deviation_extreme,0.15,1,True,0.29498958587646484,0.04865945875644684,False,0.015941977500915527,0.04292978718876839,0.04234004020690918,0.01728062517940998,2.1780905723571777
pit_b_224,5,ILSVRC2012_val_00000138.JPEG,score_deviation_extreme,0.15,1,True,-0.014466285705566406,-0.0014791041612625122,False,0.003607630729675293,0.04994325712323189,0.040992967784404755,0.0424533411860466,1.4397635459899902
pit_b_224,6,ILSVRC2012_val_00000166.JPEG,score_deviation_extreme,0.15,1,True,0.07855701446533203,0.0082174614071846,False,0.003177821636199951,0.04698314517736435,0.03409875929355621,0.04392382502555847,2.756357192993164
pit_b_224,7,ILSVRC2012_val_00000262.JPEG,score_deviation_extreme,0.15,1,True,0.09317779541015625,0.010490059852600098,False,0.007711529731750488,0.09410107880830765,0.0570068359375,0.08521455526351929,0.8834738731384277
pit_b_224,0,ILSVRC2012_val_00000031.JPEG,score_deviation_extreme,0.15,2,True,0.2477273941040039,0.030467577278614044,False,0.005605161190032959,0.07096203416585922,0.11145847290754318,-0.013616830110549927,0.734965980052948
pit_b_224,1,ILSVRC2012_val_00000081.JPEG,score_deviation_extreme,0.15,2,True,0.2688608169555664,0.03286905586719513,False,0.012323498725891113,0.1204671636223793,0.11639469861984253,0.09653008729219437,0.9284260272979736
pit_b_224,2,ILSVRC2012_val_00000102.JPEG,score_deviation_extreme,0.15,2,True,0.2816352844238281,0.03247378021478653,False,0.004705488681793213,0.05376465991139412,0.050613466650247574,0.007749221287667751,2.531170129776001
pit_b_224,3,ILSVRC2012_val_00000117.JPEG,score_deviation_extreme,0.15,2,True,0.10433578491210938,0.0043400973081588745,False,0.006663322448730469,0.05483241379261017,0.03682561218738556,0.40391451120376587,0.7076419591903687
pit_b_224,4,ILSVRC2012_val_00000120.JPEG,score_deviation_extreme,0.15,2,True,0.29498958587646484,0.04865945875644684,False,0.015941977500915527,0.04292978718876839,0.04234004020690918,0.01728062704205513,2.1780905723571777
pit_b_224,5,ILSVRC2012_val_00000138.JPEG,score_deviation_extreme,0.15,2,True,-0.014466285705566406,-0.0014791041612625122,False,0.003607630729675293,0.04994325712323189,0.040992967784404755,0.0424533411860466,1.4397635459899902
pit_b_224,6,ILSVRC2012_val_00000166.JPEG,score_deviation_extreme,0.15,2,True,0.07855701446533203,0.0082174614071846,False,0.003177821636199951,0.04698314517736435,0.03409875929355621,0.04392382130026817,2.756357192993164
pit_b_224,7,ILSVRC2012_val_00000262.JPEG,score_deviation_extreme,0.15,2,True,0.09317779541015625,0.010490059852600098,False,0.007711529731750488,0.09410107880830765,0.0570068359375,0.08521455526351929,0.8834738731384277
pit_b_224,0,ILSVRC2012_val_00000031.JPEG,score_deviation_extreme,0.15,3,True,0.2477273941040039,0.030467577278614044,False,0.005605161190032959,0.07096203416585922,0.11145847290754318,-0.013616830110549927,0.734965980052948
