source_model,target_model,score_kind,sample_index,image_name,score_spearman_raw_target_removal_delta,score_spearman_processed_target_removal_delta,score_spearman_raw_source_removal_delta,score_spearman_processed_source_removal_delta,score_spearman_raw_transfer_selective_benefit,score_spearman_processed_transfer_selective_benefit,score_spearman_view_to_uniform_cosine,topk_processed_target_removal_delta,lowk_processed_target_removal_delta
vit_base_patch16_224,visformer_small,flip,28,ILSVRC2012_val_00039426.JPEG,-0.03308270499110222,0.01203007623553276,0.38496237993240356,0.38947367668151855,0.6120300889015198,0.6075187921524048,-0.18045112490653992,-0.00010868832760024816,8.61875741975382e-05
vit_base_patch16_224,visformer_small,flip,29,ILSVRC2012_val_00039464.JPEG,0.1473684012889862,0.1428571343421936,0.5458647012710571,0.5428571701049805,0.5323308110237122,0.48721805214881897,-0.3699248135089874,-0.0003726234717760235,-0.00042845841380767524
vit_base_patch16_224,visformer_small,consensus,28,ILSVRC2012_val_00039426.JPEG,0.17142856121063232,0.14135339856147766,0.5428571105003357,0.5563910007476807,0.5593984723091125,0.5518796443939209,-0.12330827116966248,-0.0001975768245756626,-0.00037965495721437037
vit_base_patch16_224,visformer_small,consensus,29,ILSVRC2012_val_00039464.JPEG,0.09473683685064316,0.0781954973936081,0.6646616458892822,0.6616541147232056,0.6165413856506348,0.5774435997009277,0.0,-0.0002694822906050831,-0.0006002254085615277
vit_base_patch16_224,visformer_small,shuffled_semantic,28,ILSVRC2012_val_00039426.JPEG,-0.2030075043439865,-0.05112782120704651,0.11278194189071655,0.12481201440095901,0.15789473056793213,0.13082705438137054,-0.10225562751293182,-0.0004233052022755146,0.0002990011125802994
vit_base_patch16_224,visformer_small,shuffled_semantic,29,ILSVRC2012_val_00039464.JPEG,0.28872179985046387,0.3218045234680176,-0.4255639314651489,-0.4150376319885254,-0.5654135346412659,-0.5714285969734192,0.138345867395401,0.0007113887113519013,-0.0006597960600629449
vit_base_patch16_224,visformer_small,permuted_score,28,ILSVRC2012_val_00039426.JPEG,-0.07218042016029358,-0.007518783211708069,-0.051127851009368896,-0.03609025478363037,0.05413533002138138,0.04511277377605438,0.20451128482818604,-0.0002796664775814861,-0.00020317239977885038
vit_base_patch16_224,visformer_small,permuted_score,29,ILSVRC2012_val_00039464.JPEG,-0.05714285373687744,-0.04360903799533844,-0.30676689743995667,-0.31578946113586426,-0.27518799901008606,-0.281203031539917,0.0511278361082077,0.0008787136757746339,-2.8797426239179913e-06
vit_base_patch16_224,visformer_small,phase,30,ILSVRC2012_val_00039490.JPEG,0.20601502060890198,0.20150375366210938,-0.2345864623785019,-0.24661654233932495,-0.3548872470855713,-0.3909774422645569,0.17443609237670898,0.0002335167519049719,0.0002692375855986029
vit_base_patch16_224,visformer_small,phase,31,ILSVRC2012_val_00039737.JPEG,-0.3172932267189026,-0.32030075788497925,-0.19097745418548584,-0.19097745418548584,-0.19097745418548584,-0.18195490539073944,-0.031578972935676575,-0.0005381418741308153,0.001096542226150632
vit_base_patch16_224,visformer_small,flip,30,ILSVRC2012_val_00039490.JPEG,0.009022552520036697,-0.009022548794746399,-0.3142856955528259,-0.344360888004303,-0.3593984842300415,-0.3654135465621948,0.40751880407333374,2.4150451281457208e-05,-0.00011202153109479696
vit_base_patch16_224,visformer_small,flip,31,ILSVRC2012_val_00039737.JPEG,-0.025563903152942657,-0.051127806305885315,-0.32030072808265686,-0.32030072808265686,-0.25112780928611755,-0.24962404370307922,0.046616531908512115,-0.00018615425506141037,0.001454617246054113
vit_base_patch16_224,visformer_small,consensus,30,ILSVRC2012_val_00039490.JPEG,0.26616543531417847,0.26015037298202515,-0.2857142686843872,-0.31578946113586426,-0.44511279463768005,-0.4872180223464966,0.3082706928253174,0.0009094192646443844,-0.0005942410207353532
vit_base_patch16_224,visformer_small,consensus,31,ILSVRC2012_val_00039737.JPEG,-0.15037594735622406,-0.1609022617340088,-0.40451130270957947,-0.40451130270957947,-0.3774436116218567,-0.37593984603881836,0.028571423143148422,-0.0004655852972064167,0.0010171852773055434
vit_base_patch16_224,visformer_small,shuffled_semantic,30,ILSVRC2012_val_00039490.JPEG,-0.10375940799713135,-0.13233083486557007,-0.04060148447751999,0.025563932955265045,0.08120302855968475,0.10827069729566574,-0.033082690089941025,-8.758215699344873e-05,0.00037271782639436424
