model,condition,sample_index,image_name,preserved_view_fraction,preserved_route_distance,preserved_pair_distance,top_preserved_global_cosine,top_preserved_js,top_route_distance,top_pair_distance,all_view_global_cosine,all_view_js,all_view_route_distance,route_view_count
vit_base_patch16_224,feature_gaussian,59,ILSVRC2012_val_00034391.JPEG,0.0,0.0,0.2999509871006012,0.9237402081489563,0.020234854891896248,0.5306326746940613,0.2999509871006012,0.8866958022117615,0.2105741947889328,0.6092755198478699,0
vit_base_patch16_224,phase_only,58,ILSVRC2012_val_00034359.JPEG,0.8500000238418579,0.05272507667541504,0.0,0.9999997019767761,-7.450580596923828e-09,0.01173466444015503,0.0,0.9936103820800781,0.001561992452479899,0.05998468026518822,17
vit_base_patch16_224,phase_only,59,ILSVRC2012_val_00034391.JPEG,0.5,0.018367290496826172,0.0,1.0,-1.4901161193847656e-08,0.018367290496826172,0.0,0.9690343737602234,0.02668929100036621,0.2718775272369385,10
vit_base_patch16_224,opponent,60,ILSVRC2012_val_00034406.JPEG,1.0,0.173714280128479,0.12423673272132874,0.9945546984672546,0.00047336946590803564,0.13785713911056519,0.12423673272132874,0.9928686022758484,0.0008495774236507714,0.173714280128479,20
vit_base_patch16_224,opponent,61,ILSVRC2012_val_00034438.JPEG,0.10000000149011612,0.4677041172981262,0.35039183497428894,0.9802176356315613,0.02299042046070099,0.5112244486808777,0.35039183497428894,0.9716770052909851,0.1132865771651268,0.5308265089988708,2
vit_base_patch16_224,rgb_gaussian,60,ILSVRC2012_val_00034406.JPEG,1.0,0.17304080724716187,0.10568162053823471,0.9931669235229492,0.00064241694053635,0.13906125724315643,0.10568162053823471,0.9915569424629211,0.0009414464584551752,0.17304080724716187,20
vit_base_patch16_224,rgb_gaussian,61,ILSVRC2012_val_00034438.JPEG,0.05000000074505806,0.46520406007766724,0.33518362045288086,0.9782465100288391,0.029609426856040955,0.4347550868988037,0.33518362045288086,0.97076416015625,0.12292545288801193,0.4431581497192383,1
vit_base_patch16_224,feature_gaussian,60,ILSVRC2012_val_00034406.JPEG,1.0,0.18266324698925018,0.14384488761425018,0.9955534934997559,0.0004507461271714419,0.1347959339618683,0.14384488761425018,0.9932737350463867,0.0008771098218858242,0.18266324698925018,20
vit_base_patch16_224,feature_gaussian,61,ILSVRC2012_val_00034438.JPEG,0.10000000149011612,0.3793366849422455,0.2666448652744293,0.9750642776489258,0.045252684503793716,0.37365302443504333,0.2666448652744293,0.9727096557617188,0.16792665421962738,0.42565813660621643,2
vit_base_patch16_224,phase_only,60,ILSVRC2012_val_00034406.JPEG,1.0,0.0983010083436966,0.0,1.0,1.4901161193847656e-08,0.01775503158569336,0.0,0.999405026435852,8.464854909107089e-05,0.0983010083436966,20
vit_base_patch16_224,phase_only,61,ILSVRC2012_val_00034438.JPEG,0.5,0.02142852544784546,0.0,1.0,0.0,0.02142852544784546,0.0,0.9844011664390564,0.05686848238110542,0.22938263416290283,10
