model,sample_index,image_name,target_mode,map_variant,map_rank_spearman,map_top_half_iou,gradcam_zero
vit_base_patch16_224,27,ILSVRC2012_val_00001425.JPEG,predicted,gradcam_relu,-0.42013561725616455,0.6065573692321777,True
vit_base_patch16_224,28,ILSVRC2012_val_00001434.JPEG,predicted,gradcam_relu,0.2860250771045685,0.29801324009895325,True
vit_base_patch16_224,29,ILSVRC2012_val_00001435.JPEG,predicted,gradcam_relu,0.013653786852955818,0.26451611518859863,True
vit_base_patch16_224,30,ILSVRC2012_val_00001512.JPEG,predicted,gradcam_relu,0.5381667017936707,0.15976330637931824,True
vit_base_patch16_224,31,ILSVRC2012_val_00001537.JPEG,predicted,gradcam_relu,0.43127763271331787,0.22499999403953552,True
vit_base_patch16_224,24,ILSVRC2012_val_00001115.JPEG,predicted,gradcam_signed,-0.4557307958602905,0.5934959053993225,True
vit_base_patch16_224,25,ILSVRC2012_val_00001343.JPEG,predicted,gradcam_signed,-0.29063743352890015,0.46268656849861145,True
vit_base_patch16_224,26,ILSVRC2012_val_00001379.JPEG,predicted,gradcam_signed,0.42035555839538574,0.21739129722118378,True
vit_base_patch16_224,27,ILSVRC2012_val_00001425.JPEG,predicted,gradcam_signed,-0.42013561725616455,0.6065573692321777,True
vit_base_patch16_224,28,ILSVRC2012_val_00001434.JPEG,predicted,gradcam_signed,0.2860250771045685,0.29801324009895325,True
vit_base_patch16_224,29,ILSVRC2012_val_00001435.JPEG,predicted,gradcam_signed,0.013653786852955818,0.26451611518859863,True
vit_base_patch16_224,30,ILSVRC2012_val_00001512.JPEG,predicted,gradcam_signed,0.5381667017936707,0.15976330637931824,True
vit_base_patch16_224,31,ILSVRC2012_val_00001537.JPEG,predicted,gradcam_signed,0.43127763271331787,0.22499999403953552,True
vit_base_patch16_224,24,ILSVRC2012_val_00001115.JPEG,predicted,gradcam_abs,-0.4557307958602905,0.5934959053993225,True
vit_base_patch16_224,25,ILSVRC2012_val_00001343.JPEG,predicted,gradcam_abs,-0.29063743352890015,0.46268656849861145,True
vit_base_patch16_224,26,ILSVRC2012_val_00001379.JPEG,predicted,gradcam_abs,0.42035555839538574,0.21739129722118378,True
vit_base_patch16_224,27,ILSVRC2012_val_00001425.JPEG,predicted,gradcam_abs,-0.42013561725616455,0.6065573692321777,True
vit_base_patch16_224,28,ILSVRC2012_val_00001434.JPEG,predicted,gradcam_abs,0.2860250771045685,0.29801324009895325,True
vit_base_patch16_224,29,ILSVRC2012_val_00001435.JPEG,predicted,gradcam_abs,0.013653786852955818,0.26451611518859863,True
vit_base_patch16_224,30,ILSVRC2012_val_00001512.JPEG,predicted,gradcam_abs,0.5381667017936707,0.15976330637931824,True
vit_base_patch16_224,31,ILSVRC2012_val_00001537.JPEG,predicted,gradcam_abs,0.43127763271331787,0.22499999403953552,True
vit_base_patch16_224,32,ILSVRC2012_val_00001570.JPEG,predicted,patch_score,1.0,1.0,True
vit_base_patch16_224,33,ILSVRC2012_val_00001638.JPEG,predicted,patch_score,1.0,1.0,True
vit_base_patch16_224,34,ILSVRC2012_val_00001642.JPEG,predicted,patch_score,1.0,1.0,True
vit_base_patch16_224,35,ILSVRC2012_val_00001645.JPEG,predicted,patch_score,1.0,1.0,True
vit_base_patch16_224,36,ILSVRC2012_val_00001648.JPEG,predicted,patch_score,1.0,1.0,True
vit_base_patch16_224,37,ILSVRC2012_val_00001655.JPEG,predicted,patch_score,1.0,1.0,True
vit_base_patch16_224,38,ILSVRC2012_val_00001659.JPEG,predicted,patch_score,1.0,1.0,True
vit_base_patch16_224,39,ILSVRC2012_val_00001689.JPEG,predicted,patch_score,1.0,1.0,True
vit_base_patch16_224,32,ILSVRC2012_val_00001570.JPEG,predicted,random_uniform,1.0,1.0,True
vit_base_patch16_224,33,ILSVRC2012_val_00001638.JPEG,predicted,random_uniform,1.0,1.0,True
vit_base_patch16_224,34,ILSVRC2012_val_00001642.JPEG,predicted,random_uniform,1.0,1.0,True
vit_base_patch16_224,35,ILSVRC2012_val_00001645.JPEG,predicted,random_uniform,1.0,1.0,True
vit_base_patch16_224,36,ILSVRC2012_val_00001648.JPEG,predicted,random_uniform,1.0,1.0,True
vit_base_patch16_224,37,ILSVRC2012_val_00001655.JPEG,predicted,random_uniform,1.0,1.0,True
vit_base_patch16_224,38,ILSVRC2012_val_00001659.JPEG,predicted,random_uniform,1.0,1.0,True
vit_base_patch16_224,39,ILSVRC2012_val_00001689.JPEG,predicted,random_uniform,1.0,1.0,True
vit_base_patch16_224,32,ILSVRC2012_val_00001570.JPEG,predicted,gradcam_relu,-0.014844329096376896,0.3154362440109253,True
vit_base_patch16_224,33,ILSVRC2012_val_00001638.JPEG,predicted,gradcam_relu,-0.40323373675346375,0.4848484992980957,True
vit_base_patch16_224,34,ILSVRC2012_val_00001642.JPEG,predicted,gradcam_relu,-0.0887918472290039,0.37062937021255493,True
