model,sample_index,image_name,layer,layer_index,feature_source,grid_h,grid_w,strategy,drop_ratio,repeat,clean_correct,route_logit_drop,route_loss_increase,route_prediction_changed,selected_score_mean
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,3,True,1.117732048034668,0.541037380695343,False,0.24104157090187073
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,3,True,0.8321380615234375,0.04214745759963989,False,0.2400517463684082
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,3,True,-0.2747001647949219,-0.049472272396087646,False,0.1584739089012146
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,3,True,0.09417438507080078,0.01564304530620575,False,0.21924221515655518
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,3,True,0.01661396026611328,0.0014144256711006165,False,0.15373940765857697
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,3,True,-0.15842819213867188,-0.012982450425624847,False,0.23760493099689484
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,early,0,feature_modules[0],14,14,random_uniform,0.15,0,True,0.00724029541015625,-0.00019281357526779175,False,0.2687603533267975
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,early,0,feature_modules[0],14,14,random_uniform,0.15,0,True,-0.1587209701538086,-0.012085042893886566,False,0.2784007787704468
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,early,0,feature_modules[0],14,14,random_uniform,0.15,0,True,1.8300271034240723,0.784601092338562,False,0.2866256833076477
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,early,0,feature_modules[0],14,14,random_uniform,0.15,0,True,0.48505210876464844,0.0461297333240509,False,0.29848966002464294
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,early,0,feature_modules[0],14,14,random_uniform,0.15,0,True,-0.29167842864990234,-0.050368502736091614,False,0.2043333500623703
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,early,0,feature_modules[0],14,14,random_uniform,0.15,0,True,-0.0892343521118164,-0.008936807513237,False,0.26372838020324707
